GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
02930,"Arcata, CA Urban Area","Arcata, CA",06023,19429,8734,7.928,0.046,40.877492,-124.078895
03007,"Ardmore, OK Urban Area","Ardmore, OK",40019,21261,9809,15.019,0.139,34.177688,-97.13738
03034,"Arecibo, PR Urban Area","Arecibo, PR",72065,125368,57529,75.493,0.096,18.454313,-66.810062
03088,"Arizona City, AZ Urban Area","Arizona City, AZ",04021,8305,4239,4.339,0.077,32.749832,-111.673175
03115,"Arkadelphia, AR Urban Area","Arkadelphia, AR",05019,10084,4189,6.2,0.0,34.126249,-93.068945
03142,"Arkansas City, KS Urban Area","Arkansas City, KS",20035,11745,5519,6.832,0.0,37.065618,-97.040529
03158,"Arlington, TN Urban Area","Arlington, TN",47157,14124,4664,7.675,0.034,35.284261,-89.665147
03196,"Arroyo Grande--Grover Beach--Pismo Beach, CA Urban Area","Arroyo Grande, CA",06079,51111,25873,17.075,0.061,35.123896,-120.604569
03223,"Artesia, NM Urban Area","Artesia, NM",35015,14304,6362,6.849,0.007,32.843287,-104.40931
03250,"Arvin, CA Urban Area","Arvin, CA",06029,19342,4585,2.345,0.0,35.203159,-118.832837
03262,"Asbury Lake--Middleburg, FL Urban Area","Asbury Lake, FL",12019,23236,9948,23.003,0.27,30.060172,-81.852388
03277,"Ashburn, GA Urban Area","Ashburn, GA",13287,4798,2021,4.247,0.042,31.696905,-83.647136
03331,"Asheboro, NC Urban Area","Asheboro, NC",37151,37443,16354,27.421,0.122,35.734505,-79.812027
03358,"Asheville, NC Urban Area","Asheville, NC",37021,295054,143788,248.585,1.904,35.509787,-82.522474
03385,"Ashland, OH Urban Area","Ashland, OH",39005,19185,8895,9.852,0.036,40.865865,-82.318339
03395,"Ashland, PA Urban Area","Ashland, PA",42107,4402,2683,1.419,0.0,40.793666,-76.284347
03412,"Ashland, WI Urban Area","Ashland, WI",55003,7079,3545,4.223,0.001,46.587261,-90.877925
03466,"Ashtabula, OH Urban Area","Ashtabula, OH",39007,27313,14044,21.69,0.18,41.871766,-80.815232
03493,"Ashville, OH Urban Area","Ashville, OH",39129,7412,2754,3.807,0.0,39.714159,-82.974496
03520,"Aspen, CO Urban Area","Aspen, CO",08097,7299,6372,5.212,0.0,39.198226,-106.84115
03547,"Astoria, OR Urban Area","Astoria, OR",41007,15948,7482,9.669,0.13,46.190059,-123.810292
03601,"Atchison, KS Urban Area","Atchison, KS",20005,10746,4245,5.385,0.044,39.565798,-95.13284
03655,"Athens, AL Urban Area","Athens, AL",01083,25167,11501,20.092,0.115,34.797624,-86.962366
03682,"Athens, OH Urban Area","Athens, OH",39009,26311,10059,9.453,0.144,39.332266,-82.104873
03709,"Athens, TN Urban Area","Athens, TN",47107,15568,7372,15.473,0.0,35.452502,-84.609521
03736,"Athens, TX Urban Area","Athens, TX",48213,12342,4850,9.32,0.025,32.198133,-95.849966
03763,"Athens-Clarke County, GA Urban Area","Athens, GA",13059,144727,61888,91.847,0.937,33.944601,-83.396107
03790,"Athol, MA Urban Area","Athol, MA",25027,13803,6159,10.611,0.461,42.599692,-72.237254
03817,"Atlanta, GA Urban Area","Atlanta, GA",13121,5152073,2068065,2450.521,36.379,33.834858,-84.337701
03844,"Atlanta, TX Urban Area","Atlanta, TX",48067,4948,2460,6.809,0.038,33.13,-94.169682
03871,"Atlantic, IA Urban Area","Atlantic, IA",19029,6571,3426,4.492,0.044,41.397778,-95.009637
03904,"Atlantic City--Ocean City--Villas, NJ Urban Area","Atlantic City, NJ",34001,296056,201191,162.875,4.106,39.239372,-74.66394
03925,"Atmore, AL Urban Area","Atmore, AL",01053,6314,3298,5.104,0.02,31.025074,-87.488688
03957,"Atoka, TN Urban Area","Atoka, TN",47167,13152,5175,9.925,0.028,35.436176,-89.777209
04021,"Aubrey, TX Urban Area","Aubrey, TX",48121,6050,2465,2.74,0.004,33.290517,-96.98788
04033,"Auburn, AL Urban Area","Auburn, AL",01081,103995,46470,61.156,0.569,32.611382,-85.452135
04060,"Auburn, IN Urban Area","Auburn, IN",18033,20425,8898,9.883,0.0,41.361557,-85.075974
04114,"Auburn, NY Urban Area","Auburn, NY",36011,30546,15230,13.139,0.082,42.922279,-76.558539
04130,"Auburn, CA Urban Area","Auburn, CA",06061,32425,14085,17.239,0.009,38.925771,-121.080791
04146,"Au Gres, MI Urban Area","Au Gres, MI",26011,1878,2164,3.963,0.065,44.043392,-83.689549
04168,"Augusta, KS Urban Area","Augusta, KS",20015,9252,3875,3.716,0.268,37.694382,-96.973186
04195,"Augusta, ME Urban Area","Augusta, ME",23011,24858,12940,21.918,0.723,44.323856,-69.807516
