GEOID,Name,Short Name,CSA,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
15780,"Camden, AR","Camden, AR",,27034,14338,1361.322,10.838,33.567513,-92.708217
15820,"Campbellsville, KY","Campbellsville, KY",,37483,16498,552.38,13.233,37.315476,-85.442981
15860,"Cañon City, CO","Cañon City, CO",444,49394,20449,1533.835,0.863,38.45517,-105.424958
15900,"Canton, IL","Canton, IL",427,33259,15883,865.694,16.949,40.46524,-90.202269
15940,"Canton-Massillon, OH","Canton, OH",184,400495,180916,969.613,9.571,40.711051,-81.261468
15980,"Cape Coral-Fort Myers, FL","Cape Coral, FL",163,792692,430243,781.182,733.646,26.563273,-81.984182
16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO",164,97813,43903,1431.815,28.361,37.325936,-89.762639
16060,"Carbondale, IL","Carbondale, IL",166,52706,27750,583.574,18.65,37.786096,-89.381212
16100,"Carlsbad-Artesia, NM","Carlsbad, NM",,61114,26633,4176.348,21.811,32.457835,-104.306434
16140,"Carroll, IA","Carroll, IA",,20677,9508,569.453,0.828,42.039502,-94.86765
16180,"Carson City, NV","Carson City, NV",456,58364,24902,144.534,12.585,39.15306,-119.747368
16220,"Casper, WY","Casper, WY",,79735,37101,5340.537,35.124,42.977645,-106.768219
16260,"Cedar City, UT","Cedar City, UT",,60201,22824,3296.167,4.398,37.909304,-113.30674
16300,"Cedar Rapids, IA","Cedar Rapids, IA",168,275960,121966,2008.734,11.378,42.086289,-91.631095
16340,"Cedartown, GA","Cedartown, GA",122,43365,17301,310.34,1.801,33.996015,-85.188338
16380,"Celina, OH","Celina, OH",338,42438,18023,462.447,10.978,40.535331,-84.632056
16460,"Centralia, IL","Centralia, IL",476,37294,17379,572.538,3.565,38.648236,-88.920362
16500,"Centralia, WA","Centralia, WA",500,83925,36037,2402.782,33.564,46.580071,-122.377444
16540,"Chambersburg, PA","Chambersburg, PA",548,156626,66787,772.279,0.6,39.926772,-77.724521
16580,"Champaign-Urbana, IL","Champaign, IL",169,236196,107994,1920.889,3.284,40.234489,-88.298623
16620,"Charleston, WV","Charleston, WV",170,207456,104500,1746.062,12.811,38.283213,-81.492557
16660,"Charleston-Mattoon, IL","Charleston, IL",,46689,22717,508.272,1.795,39.51368,-88.220782
16700,"Charleston-North Charleston, SC","Charleston, SC",,817756,370246,2590.149,582.301,33.01754,-80.009947
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC",172,2712818,1139944,5597.382,116.631,35.166342,-80.797285
16820,"Charlottesville, VA","Charlottesville, VA",,222937,99882,1644.535,13.769,37.949084,-78.593206
16860,"Chattanooga, TN-GA","Chattanooga, TN",174,569333,251533,2088.794,48.919,35.049361,-85.361158
16940,"Cheyenne, WY","Cheyenne, WY",,100661,45032,2685.864,1.679,41.29283,-104.660395
16980,"Chicago-Naperville-Elgin, IL-IN","Chicago, IL",176,9359555,3886535,6923.319,1901.182,41.75878,-87.841887
17020,"Chico, CA","Chico, CA",,209470,91176,1636.511,40.62,39.665336,-121.603209
17060,"Chillicothe, OH","Chillicothe, OH",198,76748,32042,689.166,3.859,39.323895,-83.059538
17140,"Cincinnati, OH-KY-IN","Cincinnati, OH",178,2255257,961797,4385.213,80.579,39.078595,-84.463535
17220,"Clarksburg, WV","Clarksburg, WV",242,89717,41225,908.504,4.169,39.28835,-80.43153
17260,"Clarksdale, MS","Clarksdale, MS",368,20808,10188,553.102,29.933,34.230316,-90.60401
17300,"Clarksville, TN-KY","Clarksville, TN",,328626,133856,2158.172,84.044,36.69571,-87.624307
17340,"Clearlake, CA","Clearlake, CA",,68139,34271,1255.102,72.992,39.108009,-122.745217
17380,"Cleveland, MS","Cleveland, MS",,30163,13679,876.507,31.447,33.799139,-90.88412
17410,"Cleveland, OH","Cleveland, OH",184,2171978,1016658,2701.479,2645.835,41.667548,-81.43052
17420,"Cleveland, TN","Cleveland, TN",174,127445,54267,763.367,10.373,35.138117,-84.655079
17500,"Clewiston, FL","Clewiston, FL",163,53122,22251,1962.776,213.847,26.739191,-81.184001
17540,"Clinton, IA","Clinton, IA",209,46383,21590,694.959,15.217,41.898073,-90.534243
17580,"Clovis, NM","Clovis, NM",,66934,29791,3851.575,10.298,34.221551,-103.431242
17620,"Coamo, PR","Coamo, PR",434,54358,25239,112.082,42.89,18.028709,-66.369763
17640,"Coco, PR","Coco, PR",490,25397,13152,69.404,44.717,17.971485,-66.262252
17650,"Cody, WY","Cody, WY",,30109,14813,6939.039,26.115,44.492387,-109.593597
17660,"Coeur d'Alene, ID","Coeur d'Alene, ID",518,177736,78013,1237.793,71.202,47.67596,-116.695861
17740,"Coldwater, MI","Coldwater, MI",,44914,20879,506.411,13.292,41.918455,-85.066885
17780,"College Station-Bryan, TX","College Station, TX",,273280,117162,2100.387,33.42,30.754392,-96.488537
17820,"Colorado Springs, CO","Colorado Springs, CO",,760782,310269,2683.565,4.635,38.845507,-104.638728
17860,"Columbia, MO","Columbia, MO",190,212850,92569,1714.102,17.588,38.986524,-92.585236
17900,"Columbia, SC","Columbia, SC",192,839868,373131,3703.135,130.63,34.077585,-81.037845
17980,"Columbus, GA-AL","Columbus, GA",194,326136,144950,2786.109,31.768,32.419377,-84.843709
18020,"Columbus, IN","Columbus, IN",294,82881,35517,406.94,2.593,39.205843,-85.897999
18060,"Columbus, MS","Columbus, MS",523,68323,31772,1201.429,15.838,33.251133,-88.506349
18100,"Columbus, NE","Columbus, NE",,44899,18206,1086.577,14.528,41.574696,-97.353145
18140,"Columbus, OH","Columbus, OH",198,2151847,915425,4797.45,53.719,39.968562,-82.835911
18180,"Concord, NH","Concord, NH",148,155018,66080,932.851,22.124,43.299579,-71.680041
18220,"Connersville, IN","Connersville, IN",458,23390,10900,215.021,0.141,39.639654,-85.185034
18260,"Cookeville, TN","Cookeville, TN",,143819,64349,1520.082,16.266,36.190707,-85.463759
18300,"Coos Bay-North Bend, OR","Coos Bay, OR",,64832,31698,1596.051,210.305,43.18591,-124.094133
18340,"Corbin, KY","Corbin, KY",371,149625,64729,1727.252,20.441,36.985916,-83.966066
18380,"Cordele, GA","Cordele, GA",,19995,9902,272.682,8.264,31.920268,-83.75653
18420,"Corinth, MS","Corinth, MS",539,34500,16242,400.047,1.314,34.886569,-88.581109
18460,"Cornelia, GA","Cornelia, GA",122,46948,18774,276.867,2.19,34.634392,-83.525875
18500,"Corning, NY","Corning, NY",236,93034,47565,1390.51,13.527,42.266725,-77.385525
18580,"Corpus Christi, TX","Corpus Christi, TX",204,446797,198858,1784.965,616.378,27.894817,-97.401668
18620,"Corsicana, TX","Corsicana, TX",206,53735,21790,1009.702,76.3,32.043349,-96.476406
18660,"Cortland, NY","Cortland, NY",296,46401,20842,498.774,2.745,42.594039,-76.07624
18700,"Corvallis, OR","Corvallis, OR",440,96359,40565,675.208,2.956,44.493882,-123.424664
18740,"Coshocton, OH","Coshocton, OH",184,36679,16321,563.911,3.524,40.29671,-81.930109
18820,"Crawfordsville, IN","Crawfordsville, IN",294,38155,16534,504.627,0.794,40.040296,-86.892715
18860,"Crescent City, CA","Crescent City, CA",152,27293,11156,1006.202,223.48,41.749903,-123.980998
18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview, FL",,294127,161369,1968.208,687.93,30.594941,-86.358164
18900,"Crossville, TN","Crossville, TN",,62529,31037,681.309,3.51,35.952398,-84.994761
18980,"Cullman, AL","Cullman, AL",142,89463,39538,734.749,20.273,34.131923,-86.869267
19060,"Cumberland, MD-WV","Cumberland, MD",,94684,45336,750.081,7.018,39.532185,-78.807082
19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",206,7807555,3030663,8676.287,330.984,32.849171,-96.970489
19140,"Dalton, GA","Dalton, GA",174,143400,55617,634.939,2.818,34.796956,-84.856279
19180,"Danville, IL","Danville, IL",169,73179,34390,898.32,2.906,40.186755,-87.726778
19220,"Danville, KY","Danville, KY",,55123,23838,513.24,5.993,37.507848,-84.735684
19260,"Danville, VA","Danville, VA",,102387,51777,1011.805,10.128,36.811853,-79.400122
19300,"Daphne-Fairhope-Foley, AL","Daphne, AL",380,239945,128518,1589.943,437.33,30.659218,-87.746067
19340,"Davenport-Moline-Rock Island, IA-IL","Davenport, IA",209,381864,174359,2270.024,43.903,41.39168,-90.460076
19430,"Dayton-Kettering-Beavercreek, OH","Dayton, OH",212,813608,371428,1281.566,8.577,39.829746,-84.140992
19460,"Decatur, AL","Decatur, AL",290,156924,68886,1270.361,45.892,34.489361,-87.097147
19500,"Decatur, IL","Decatur, IL",,102591,49699,580.548,5.204,39.860237,-88.961529
19540,"Decatur, IN","Decatur, IN",258,35995,13250,338.925,1.04,40.74573,-84.936134
19580,"Defiance, OH","Defiance, OH",,38258,16570,411.439,2.742,41.321679,-84.486433
19620,"Del Rio, TX","Del Rio, TX",,47647,18631,3144.75,87.92,29.875285,-101.143324
19660,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona, FL",422,689939,336371,1587.413,415.852,29.1789,-81.189023
19700,"Deming, NM","Deming, NM",,25420,11567,2965.177,0.167,32.184523,-107.747191
19740,"Denver-Aurora-Centennial, CO","Denver, CO",216,2977085,1268353,8344.732,57.55,39.434789,-104.901073
19760,"DeRidder, LA","DeRidder, LA",324,36646,15968,1157.478,8.472,30.645018,-93.340253
19780,"Des Moines-West Des Moines, IA","Des Moines, IA",218,720331,308705,3612.657,32.002,41.57705,-93.759712
19810,"Detroit Lakes, MN","Detroit Lakes, MN",,35260,19869,1315.037,130.113,46.937629,-95.741757
19820,"Detroit-Warren-Dearborn, MI","Detroit, MI",220,4367620,1914787,3892.911,342.385,42.721848,-83.200846
19860,"Dickinson, ND","Dickinson, ND",,38107,18098,4491.894,83.605,47.119444,-102.807928
19940,"Dixon, IL","Dixon, IL",221,34058,14993,724.769,3.776,41.747447,-89.299362
19980,"Dodge City, KS","Dodge City, KS",,34133,12638,1098.271,0.81,37.68851,-99.884743
20020,"Dothan, AL","Dothan, AL",222,151804,71480,1716.239,12.698,31.245528,-85.46919
20060,"Douglas, GA","Douglas, GA",,51422,20935,934.983,12.2,31.461335,-82.868088
20100,"Dover, DE","Dover, DE",428,185043,74997,586.061,212.27,39.097088,-75.502982
20140,"Dublin, GA","Dublin, GA",,58811,25579,1110.355,14.709,32.530355,-82.856622
20180,"DuBois, PA","DuBois, PA",524,78902,38160,1145.06,9.315,41.006862,-78.477724
20220,"Dubuque, IA","Dubuque, IA",,98948,43003,608.299,8.162,42.463481,-90.878771
20260,"Duluth, MN-WI","Duluth, MN",228,280710,142751,8413.588,801.788,47.329703,-92.37627
20300,"Dumas, TX","Dumas, TX",,21234,8221,899.698,9.923,35.835676,-101.890502
20340,"Duncan, OK","Duncan, OK",334,43314,20311,870.212,21.168,34.481361,-97.855607
20420,"Durango, CO","Durango, CO",,56088,28613,1689.682,9.901,37.287367,-107.839718
20460,"Durant, OK","Durant, OK",206,47237,20605,904.348,39.308,33.964004,-96.265135
20500,"Durham-Chapel Hill, NC","Durham, NC",450,594291,264772,1758.96,52.984,35.995536,-79.09699
20540,"Dyersburg, TN","Dyersburg, TN",,36681,16296,512.351,13.838,36.052312,-89.404636
20580,"Eagle Pass, TX","Eagle Pass, TX",,57770,20258,1279.481,12.297,28.729787,-100.316678
20660,"Easton, MD","Easton, MD",548,37707,19671,268.556,208.252,38.748349,-76.178476
20700,"East Stroudsburg, PA","East Stroudsburg, PA",106,167784,79458,608.361,8.751,41.05624,-75.329065
20740,"Eau Claire, WI","Eau Claire, WI",232,172886,74835,1646.353,40.112,44.938672,-91.284322
20780,"Edwards, CO","Edwards, CO",233,55374,33455,1684.47,7.323,39.626992,-106.695169
20820,"Effingham, IL","Effingham, IL",,44883,20056,824.713,2.205,39.155051,-88.437879
20900,"El Campo, TX","El Campo, TX",288,41651,17546,1086.144,8.226,29.27848,-96.229674
20940,"El Centro, CA","El Centro, CA",,179319,57511,4175.453,305.073,33.040814,-115.3554
20980,"El Dorado, AR","El Dorado, AR",,38368,18663,1039.067,16.256,33.168219,-92.598145
21020,"Elizabeth City, NC","Elizabeth City, NC",545,40830,17565,226.878,62.453,36.265199,-76.260691
21060,"Elizabethtown, KY","Elizabethtown, KY",350,126480,53912,884.974,8.786,37.651209,-85.887598
21120,"Elk City, OK","Elk City, OK",555,22202,10120,901.675,2.132,35.270601,-99.690057
21140,"Elkhart-Goshen, IN","Elkhart, IN",515,206868,80102,463.158,4.813,41.600693,-85.863986
21180,"Elkins, WV","Elkins, WV",,27782,13090,1039.7,0.258,38.781095,-79.867788
21220,"Elko, NV","Elko, NV",,55512,23053,21348.991,33.288,40.906086,-115.554577
21260,"Ellensburg, WA","Ellensburg, WA",,44736,24326,2297.291,35.717,47.124441,-120.676709
21300,"Elmira, NY","Elmira, NY",236,82805,39143,407.334,3.427,42.148697,-76.752471
21340,"El Paso, TX","El Paso, TX",238,869606,321942,5584.042,2.573,31.527394,-105.521333
21380,"Emporia, KS","Emporia, KS",,34724,16395,1620.531,12.608,38.382134,-96.359301
21420,"Enid, OK","Enid, OK",,62322,27782,1058.507,1.574,36.378132,-97.788741
21460,"Enterprise, AL","Enterprise, AL",222,54231,24399,679.066,1.429,31.402258,-85.989602
21500,"Erie, PA","Erie, PA",240,269544,120019,798.904,759.179,42.117952,-80.096386
21540,"Escanaba, MI","Escanaba, MI",,36829,19841,1171.094,820.238,45.805229,-86.901938
21580,"Española, NM","Española, NM",105,40165,19703,5860.876,35.314,36.509669,-106.693983
21640,"Eufaula, AL-GA","Eufaula, AL",,26849,13417,1036.25,28.83,31.867281,-85.335032
21660,"Eugene-Springfield, OR","Eugene, OR",,382628,168316,4554.092,168.363,43.928334,-122.897581
21700,"Eureka-Arcata, CA","Eureka, CA",,135418,62625,3568.025,484.23,40.706655,-123.926176
21740,"Evanston, WY-UT","Evanston, WY",,23193,12085,3110.484,63.984,41.412124,-110.760958
21780,"Evansville, IN","Evansville, IN",241,269721,122457,1027.416,20.113,38.049142,-87.584519
21820,"Fairbanks-College, AK","Fairbanks, AK",,95555,42695,7334.994,99.948,64.670454,-146.496061
21860,"Fairmont, MN","Fairmont, MN",,19864,9715,712.336,17.242,43.677173,-94.547096
21900,"Fairmont, WV","Fairmont, WV",242,56042,26283,308.785,2.733,39.505839,-80.243402
