ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00913,72127,7212779693,7276770,79093,7068,3829,0.324,0.833,18.464629,-66.04459
00915,72127,7212779693,7276770,79093,24713,15296,1.403,0.315,18.437179,-66.045571
00917,72127,7212733984,7276770,79093,18544,11492,1.365,0.018,18.420674,-66.050105
00918,72127,7212734027,7276770,79093,15976,10638,2.698,0.058,18.422249,-66.069081
00920,72127,7212730587,7276770,79093,17293,8984,3.61,0.947,18.422439,-66.09214
00921,72127,7212730587,7276770,79093,33555,17187,3.069,0.0,18.392088,-66.087109
00923,72127,7212757247,7276770,79093,24760,13755,2.01,0.362,18.410804,-66.037358
00924,72127,7212774017,7276770,79093,47080,24479,4.659,0.37,18.399186,-66.01258
00925,72127,7212764729,7276770,79093,5556,4844,0.446,0.0,18.400271,-66.05059
00926,72127,7212722847,7276770,79093,93751,44347,23.213,0.084,18.348601,-66.053929
00927,72127,7212753936,7276770,79093,13766,7462,2.423,0.002,18.388202,-66.070033
00934,72061,7206165073,7232522,79093,128,45,1.419,0.01,18.413,-66.119829
00949,72137,7213774232,7212441,79093,68031,31498,20.58,3.304,18.409879,-66.227441
00950,72051,7205149808,,,0,0,2.664,0.768,18.467225,-66.237929
00951,72137,7213752646,7282617,79093,298,214,1.071,0.034,18.42805,-66.259772
00952,72137,7213774232,7274189,79093,8168,4075,2.217,0.0,18.428724,-66.188931
00953,72135,7213557548,7257806,79093,66079,26438,26.688,0.468,18.360729,-66.251527
00956,72021,7202153162,7206593,79093,65841,30884,27.421,0.068,18.321137,-66.170419
00957,72021,7202157763,7206593,79093,41009,18218,4.341,0.001,18.366147,-66.188962
00959,72021,7202139402,7206593,79093,47721,22125,6.093,0.032,18.385785,-66.155654
00960,72021,7202139402,7206593,79093,3405,0,1.402,0.011,18.416918,-66.142693
00961,72021,7202134156,7206593,79093,29271,13341,5.398,0.001,18.409907,-66.163361
00962,72033,7203358451,7215193,79093,19614,9567,4.816,1.07,18.439988,-66.1355
00965,72061,7206165073,7232522,79093,5148,2679,0.905,0.127,18.430508,-66.110917
00966,72061,7206165073,7232522,79093,16451,7994,2.52,0.0,18.397875,-66.113935
00968,72061,7206165073,7232522,79093,3554,2229,0.456,0.0,18.406063,-66.101232
00969,72061,7206129469,7232522,79093,41784,18139,5.038,0.021,18.366226,-66.110047
00971,72061,7206179048,7232522,79093,26430,11747,16.026,0.031,18.318884,-66.11919
00976,72139,7213967395,7283606,79093,61638,27527,17.435,0.313,18.33618,-65.994101
