Urban Area GEOID,County GEOID,Land Area,Water Area
20422,41003,17.453,0.047
20442,18061,3.589,0.0
20476,39031,7.81,0.06
20503,41039,5.248,0.068
20595,04025,16.906,0.0
20719,47167,5.998,0.0
20746,51005,2.247,0.029
20746,51580,5.08,0.201
20773,36039,3.763,0.014
20827,08081,5.501,0.0
20881,18107,9.771,0.03
20890,12129,9.719,0.0
20899,37077,6.791,0.033
20908,06015,16.336,0.087
20980,42013,0.206,0.0
20980,42021,3.675,0.0
20985,39033,2.933,0.005
20985,39139,0.248,0.0
20989,06071,16.851,1.343
21016,19175,4.515,0.002
21043,12091,39.844,0.694
21070,41039,2.443,0.017
21097,31151,2.603,0.031
21151,24039,2.688,0.153
21205,48225,6.56,0.0
21232,27119,4.649,0.0
21340,05003,9.01,0.182
21394,47035,26.801,1.163
21421,22001,7.085,0.007
21448,51003,4.487,0.027
21502,48507,3.542,0.004
21529,12017,14.085,1.151
21556,28029,3.956,0.01
21610,48123,4.365,0.018
21637,01043,21.491,0.176
21664,37099,6.097,0.0
21691,51047,9.371,0.025
21745,24001,27.236,0.254
21745,42009,0.146,0.0
21745,54057,4.313,0.009
21772,40081,1.477,0.0
21772,40119,7.834,0.012
21853,21097,2.989,0.055
21893,12101,14.397,0.376
21934,13187,3.147,0.0
21988,48111,2.312,0.002
21988,48205,1.187,0.0
22015,41053,5.496,0.0
22042,48085,173.765,0.999
22042,48113,682.999,9.444
22042,48121,77.475,1.491
22042,48139,55.985,0.598
22042,48251,27.683,0.012
22042,48257,1.808,0.003
22042,48367,3.861,0.0
22042,48397,42.706,0.55
22042,48439,680.595,11.671
22042,48497,0.02,0.0
22069,13047,1.631,0.0
22069,13313,55.858,0.077
22096,09001,90.869,5.001
22096,09005,22.698,0.226
22096,36079,4.403,0.624
22096,36119,0.519,0.166
22177,36051,3.195,0.0
22204,17183,27.794,0.862
22231,21021,13.607,0.052
22231,21137,0.007,0.0
22253,37033,0.057,0.0
22253,51143,6.74,0.025
22253,51590,29.515,0.533
22260,42093,4.242,0.017
22260,42097,0.971,0.0
22366,17073,4.231,0.115
22366,17161,64.96,5.118
22366,19163,65.668,2.37
22420,06095,0.11,0.0
22420,06113,12.053,0.035
22528,39017,1.664,0.0
22528,39023,6.492,0.036
22528,39057,60.133,0.158
22528,39109,2.666,0.001
22528,39113,212.923,1.887
22528,39165,36.014,0.543
22555,47143,9.119,0.237
22582,48291,5.407,0.0
22612,12035,70.82,1.97
22612,12109,0.003,0.0
22612,12127,141.536,10.234
22616,32019,3.318,0.0
22616,32029,0.521,0.0
22622,32019,4.498,0.001
22690,01079,0.001,0.0
22690,01083,1.577,0.023
22690,01103,41.891,0.383
22717,17115,55.107,2.933
22744,18001,6.559,0.006
22771,48497,6.198,0.0
22798,19191,5.196,0.043
22879,39039,12.369,0.535
22933,12131,7.17,0.267
22960,17037,25.632,0.242
22987,06029,7.365,0.0
22995,27171,3.093,0.0
23041,55127,9.095,2.755
23080,06047,2.34,0.0
23176,39003,2.074,0.019
23176,39137,0.025,0.0
23176,39161,1.338,0.009
23203,48465,18.808,0.083
23230,08029,6.227,0.05
23311,12127,108.983,4.857
23338,35029,8.197,0.0
23365,01091,4.549,0.032
23419,19047,4.493,0.009
23473,24011,3.266,0.036
23500,48113,18.787,0.97
23500,48121,131.029,0.926
23500,48439,0.664,0.0
23513,48121,7.062,0.025
23527,08001,139.355,3.957
23527,08005,146.962,1.786
23527,08013,3.728,0.038
23527,08014,22.714,0.531
23527,08031,110.951,1.62
23527,08035,61.515,0.139
23527,08059,155.749,3.245
23527,08123,3.567,0.01
23608,05133,4.812,0.02
23662,22011,11.454,0.072
23662,22115,3.074,0.014
23716,06065,14.079,0.0
23743,19049,25.293,0.028
23743,19153,194.195,2.762
23743,19181,5.255,0.0
23797,29099,4.4,0.14
23824,26087,0.081,0.0
23824,26093,3.906,0.082
23824,26099,255.616,2.8
23824,26115,7.334,0.152
23824,26125,504.828,27.707
23824,26147,9.718,0.047
23824,26161,0.481,0.0
23824,26163,502.862,2.897
23851,27005,9.202,9.93
23878,38071,5.072,0.006
23986,19045,4.004,0.0
24008,26161,2.494,0.001
24013,29207,7.744,0.094
24040,28045,5.067,0.087
24094,38089,12.258,0.077
24121,47043,16.451,0.063
24175,30001,2.747,0.0
24202,45033,6.33,0.043
24256,06013,4.202,1.112
24283,06095,4.395,0.003
24310,17103,7.817,0.385
24337,20057,10.918,0.128
24364,55049,3.255,0.0
24391,22005,6.007,0.15
24391,22007,4.304,0.0
24391,22093,5.338,0.431
24445,06047,2.293,0.0
24472,01045,3.524,0.0
24472,01061,0.091,0.0
24472,01069,51.472,0.15
24499,04003,5.481,0.0
24526,13069,16.594,0.208
24539,26005,4.232,0.541
24553,56009,3.279,0.0
24580,10001,72.304,1.036
24607,23031,2.585,0.029
24607,33017,49.728,1.01
24634,26027,3.557,0.047
24715,13175,20.431,0.164
24796,42033,6.63,0.055
24796,42065,0.529,0.0
24823,17085,2.319,0.014
24823,19061,31.848,0.074
24850,27137,49.689,3.295
24850,55031,17.177,1.652
24877,05041,3.107,0.0
24904,48341,4.937,0.0
24931,40137,13.611,0.064
24958,26115,3.901,0.037
25012,36013,12.753,0.045
25039,37085,11.111,0.053
25093,17145,4.061,0.021
25120,26155,3.78,0.048
25147,08067,9.451,0.033
25201,40013,12.006,0.016
25216,33017,4.036,0.025
25228,37037,8.0,0.042
25228,37063,143.07,1.09
25228,37135,32.044,0.175
25228,37183,0.241,0.0
25237,53033,2.474,0.001
25309,47045,12.976,0.088
25390,08037,3.406,0.018
25480,49049,2.021,0.0
25498,48323,21.145,0.141
25579,06107,1.35,0.0
25598,36029,5.819,0.017
25658,36103,35.852,2.266
25687,39029,12.709,0.092
25687,42007,0.115,0.002
25687,54029,2.702,0.535
25714,13091,5.962,0.072
25741,24041,11.15,0.133
25768,39029,2.907,0.0
25849,42089,38.937,0.315
25876,26069,5.005,0.0
25903,55127,4.141,0.638
25930,08123,2.16,0.0
