ZCTA5,Place GEOID,Land Area,Water Area
01562,2566070,5463145,162237
01566,2523840,2148953,271340
01566,2568120,13802749,195140
01568,2571445,6395717,207602
01570,2573930,7694240,143589
01581,2575050,4890154,43118
01583,2582000,24962,0
01585,2575365,3272482,1311869
01588,2579495,8532007,999094
01602,2582000,15096694,631588
01603,2582000,11544052,332402
01604,2582000,17174773,428266
01605,2582000,14643872,341303
01606,2582000,14509945,774163
01607,2582000,7279552,101033
01608,2582000,1247109,0
01609,2582000,9670694,56961
01610,2582000,5522924,13856
01701,2524960,43741623,1611795
01702,2524960,21121649,2172804
01730,2509875,97764,0
01731,2535250,692717,0
01742,2575680,8745029,527681
01747,2530980,4528344,9865
01748,2531050,3968790,8904
01749,2531575,14880831,453063
01752,2538715,54026863,3203986
01754,2539660,13459977,402540
01757,2541200,26299857,610379
01760,2514570,22942,0
01772,2515340,4702861,8463
01773,2572600,41745,678
01775,2539660,32086,137
01778,2514570,9842040,923624
01801,2556165,46854,0
01801,2567700,95688,0
01801,2581035,32762934,761146
01803,2509875,29192609,287026
01810,2501430,9224944,208637
01821,2553680,9659588,98172
01824,2537000,344496,17929
01826,2540710,299905,10821
01830,2529405,35918669,3403598
01832,2529405,29413877,1256493
01835,2529405,20231094,2228913
01840,2534550,1322161,200773
01841,2534550,7881520,453504
01841,2540710,1017,0
01843,2534550,8739521,637408
01844,2534550,6860,0
01844,2540710,57228811,2010287
01845,2501430,326085,0
01850,2537000,3521443,305903
01851,2537000,8362293,290032
01852,2537000,12876608,587990
01854,2537000,10146265,1177249
01867,2556165,25790524,36722
01867,2572250,18194,0
01880,2572250,19127855,1560573
01887,2580195,43961038,439325
01890,2580545,15622016,817439
01901,2537490,702544,68752
01902,2537490,6133202,355962
01902,2568680,4518,0
01904,2537490,10996730,1301718
01905,2537490,7899658,1146185
01906,2537490,2079945,47822
01906,2560050,27907444,2556905
01907,2537490,2935,0
01907,2559105,4121,0
01907,2568680,7822272,1473056
01908,2543615,2786306,3481257
01913,2501260,31836415,3729019
01915,2505595,36800615,3223239
01921,2507385,13893425,282599
01923,2516285,34201343,2346845
01929,2521815,5332129,458422
01930,2526150,67852028,13991607
01937,2516285,189212,0
01938,2532275,4245885,267880
01940,2537595,25528164,1518917
01940,2552490,571633,78321
01945,2538435,11340035,12304642
01945,2559105,133393,9990
01950,2545245,21626955,5967272
01952,2559210,15231916,4871441
01960,2552490,41479554,1408149
01966,2557845,10308749,276569
01969,2558370,4439854,71412
01970,2505595,5262,9968709
01970,2559105,21342611,14188314
01983,2570115,7011630,98966
02019,2504965,13964966,253112
02026,2516530,26600398,1072541
02030,2517370,10983983,294036
02035,2524855,7454288,114938
02038,2525172,68994700,1009370
02043,2530175,8023243,161213
02045,2531680,6924708,20977296
02048,2538230,7137613,160224
02050,2511945,3776579,145923
02050,2527130,212631,283607
02050,2538820,13087014,197093
02050,2538960,11870607,911866
02050,2550862,5632311,5735176
02052,2539730,12814819,232820
02054,2541532,8125194,99641
02062,2550285,26860703,445374
02066,2549165,9714576,147597
02066,2560295,10524383,2194608
02067,2560820,7749463,101896
02081,2572460,7278578,290086
02090,2550285,21635,0
02108,2507000,709321,14973
02109,2507000,439201,294934
02110,2507000,463307,242405
02111,2507000,507653,0
02113,2507000,252065,0
02114,2507000,1148431,265592
02115,2507000,1840706,6888
02116,2507000,1681930,429920
02118,2507000,2817078,4897
02119,2507000,4183288,0
02120,2507000,1603250,0
02121,2507000,4883837,27540
02122,2507000,4396164,534970
02124,2507000,7686578,192764
02125,2507000,5614892,798801
02126,2507000,4735330,44857
02127,2507000,5329383,1638885
02128,2507000,12191104,2862487
02128,2581005,822892,24931
02129,2507000,3505951,1257516
02130,2507000,9169529,322138
02131,2507000,7219980,18985
02132,2507000,12597621,249019
02134,2507000,3196898,248209
02135,2507000,6733233,117694
02136,2507000,11909815,273099
02138,2505105,4944,0
02138,2511000,7079575,846332
02138,2562535,7547,0
02139,2511000,4019199,531494
02140,2511000,2997626,55956
02140,2562535,2559,0
02141,2511000,1576706,26516
02142,2511000,812488,369817
02143,2562535,4000419,0
02144,2562535,2827965,23159
02145,2539835,3921,0
02145,2562535,3597952,229489
02148,2537875,13065182,99282
02148,2539835,3849,0
02149,2513205,7823,0
02149,2521990,8847540,636058
02150,2513205,5734757,638655
02151,2513205,3788,0
02151,2556585,14772907,3305047
02152,2581005,4292260,3151089
02155,2539835,20970695,1450231
02155,2562535,241037,6321
02163,2507000,475171,0
02169,2541725,10575,0
02169,2555745,31142002,3719209
02169,2556000,174374,0
02170,2541725,1093,0
02170,2555745,5398888,185829
02171,2541725,4449,0
