"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"0500000US01111","Randolph County, Alabama","21984","null","*****","*****",
"0500000US01113","Russell County, Alabama","58695","null","*****","*****",
"0500000US01115","St. Clair County, Alabama","90412","null","*****","*****",
"0500000US01117","Shelby County, Alabama","220780","null","*****","*****",
"0500000US01119","Sumter County, Alabama","12482","null","*****","*****",
"0500000US01121","Talladega County, Alabama","81850","null","*****","*****",
"0500000US01123","Tallapoosa County, Alabama","41284","null","*****","*****",
"0500000US01125","Tuscaloosa County, Alabama","223945","null","*****","*****",
"0500000US01127","Walker County, Alabama","65194","null","*****","*****",
"0500000US01129","Washington County, Alabama","15574","null","*****","*****",
"0500000US01131","Wilcox County, Alabama","10686","null","*****","*****",
"0500000US01133","Winston County, Alabama","23650","null","*****","*****",
"0500000US02013","Aleutians East Borough, Alaska","3409","null","*****","*****",
"0500000US02016","Aleutians West Census Area, Alaska","5251","null","*****","*****",
"0500000US02020","Anchorage Municipality, Alaska","292545","null","*****","*****",
"0500000US02050","Bethel Census Area, Alaska","18514","null","*****","*****",
"0500000US02060","Bristol Bay Borough, Alaska","849","null","128","null",
"0500000US02063","Chugach Census Area, Alaska","7015","null","*****","*****",
"0500000US02066","Copper River Census Area, Alaska","2635","null","*****","*****",
"0500000US02068","Denali Borough, Alaska","2187","null","433","null",
"0500000US02070","Dillingham Census Area, Alaska","4899","null","*****","*****",
"0500000US02090","Fairbanks North Star Borough, Alaska","97149","null","*****","*****",
"0500000US02100","Haines Borough, Alaska","2098","null","*****","*****",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2327","null","*****","*****",
"0500000US02110","Juneau City and Borough, Alaska","32240","null","*****","*****",
"0500000US02122","Kenai Peninsula Borough, Alaska","58711","null","*****","*****",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13939","null","*****","*****",
"0500000US02150","Kodiak Island Borough, Alaska","13218","null","*****","*****",
"0500000US02158","Kusilvak Census Area, Alaska","8354","null","*****","*****",
"0500000US02164","Lake and Peninsula Borough, Alaska","986","null","433","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","106807","null","*****","*****",
"0500000US02180","Nome Census Area, Alaska","10070","null","*****","*****",
"0500000US02185","North Slope Borough, Alaska","10865","null","*****","*****",
"0500000US02188","Northwest Arctic Borough, Alaska","7776","null","*****","*****",
"0500000US02195","Petersburg Borough, Alaska","3368","null","*****","*****",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5886","null","*****","*****",
"0500000US02220","Sitka City and Borough, Alaska","8518","null","*****","*****",
"0500000US02230","Skagway Municipality, Alaska","1329","null","160","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6849","null","*****","*****",
"0500000US02275","Wrangell City and Borough, Alaska","2162","null","*****","*****",
"0500000US02282","Yakutat City and Borough, Alaska","562","null","113","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5433","null","*****","*****",
"0500000US04001","Apache County, Arizona","66473","null","*****","*****",
"0500000US04003","Cochise County, Arizona","125092","null","*****","*****",
"0500000US04005","Coconino County, Arizona","144942","null","*****","*****",
"0500000US04007","Gila County, Arizona","53211","null","*****","*****",
"0500000US04009","Graham County, Arizona","38145","null","*****","*****",
"0500000US04011","Greenlee County, Arizona","9542","null","*****","*****",
"0500000US04012","La Paz County, Arizona","16845","null","*****","*****",
"0500000US04013","Maricopa County, Arizona","4367186","null","*****","*****",
"0500000US04015","Mohave County, Arizona","211274","null","*****","*****",
"0500000US04017","Navajo County, Arizona","106609","null","*****","*****",
"0500000US04019","Pima County, Arizona","1035063","null","*****","*****",
"0500000US04021","Pinal County, Arizona","420625","null","*****","*****",
"0500000US04023","Santa Cruz County, Arizona","47463","null","*****","*****",
"0500000US04025","Yavapai County, Arizona","233789","null","*****","*****",
"0500000US04027","Yuma County, Arizona","202944","null","*****","*****",
"0500000US05001","Arkansas County, Arkansas","17273","null","*****","*****",
"0500000US05003","Ashley County, Arkansas","19362","null","*****","*****",
"0500000US05005","Baxter County, Arkansas","41476","null","*****","*****",
"0500000US05007","Benton County, Arkansas","278774","null","*****","*****",
"0500000US05009","Boone County, Arkansas","37445","null","*****","*****",
"0500000US05011","Bradley County, Arkansas","10597","null","*****","*****",
"0500000US05013","Calhoun County, Arkansas","4811","null","*****","*****",
"0500000US05015","Carroll County, Arkansas","28154","null","*****","*****",
"0500000US05017","Chicot County, Arkansas","10405","null","*****","*****",
"0500000US05019","Clark County, Arkansas","21569","null","*****","*****",
"0500000US05021","Clay County, Arkansas","14661","null","*****","*****",
"0500000US05023","Cleburne County, Arkansas","24848","null","*****","*****",
"0500000US05025","Cleveland County, Arkansas","7632","null","*****","*****",
"0500000US05027","Columbia County, Arkansas","22947","null","*****","*****",
"0500000US05029","Conway County, Arkansas","20687","null","*****","*****",
"0500000US05031","Craighead County, Arkansas","109875","null","*****","*****",
"0500000US05033","Crawford County, Arkansas","60483","null","*****","*****",
"0500000US05035","Crittenden County, Arkansas","48338","null","*****","*****",
"0500000US05037","Cross County, Arkansas","16935","null","*****","*****",
"0500000US05039","Dallas County, Arkansas","6645","null","*****","*****",
"0500000US05041","Desha County, Arkansas","11530","null","*****","*****",
"0500000US05043","Drew County, Arkansas","17511","null","*****","*****",
"0500000US05045","Faulkner County, Arkansas","123191","null","*****","*****",
"0500000US05047","Franklin County, Arkansas","17159","null","*****","*****",
"0500000US05049","Fulton County, Arkansas","12072","null","*****","*****",
"0500000US05051","Garland County, Arkansas","99694","null","*****","*****",
"0500000US05053","Grant County, Arkansas","17912","null","*****","*****",
"0500000US05055","Greene County, Arkansas","45665","null","*****","*****",
"0500000US05057","Hempstead County, Arkansas","20352","null","*****","*****",
"0500000US05059","Hot Spring County, Arkansas","33096","null","*****","*****",
"0500000US05061","Howard County, Arkansas","12894","null","*****","*****",
"0500000US05063","Independence County, Arkansas","37796","null","*****","*****",
"0500000US05065","Izard County, Arkansas","13653","null","*****","*****",
"0500000US05067","Jackson County, Arkansas","16878","null","*****","*****",
"0500000US05069","Jefferson County, Arkansas","68199","null","*****","*****",
"0500000US05071","Johnson County, Arkansas","25853","null","*****","*****",
"0500000US05073","Lafayette County, Arkansas","6373","null","*****","*****",
"0500000US05075","Lawrence County, Arkansas","16292","null","*****","*****",
"0500000US05077","Lee County, Arkansas","8832","null","*****","*****",
"0500000US05079","Lincoln County, Arkansas","13092","null","*****","*****",
"0500000US05081","Little River County, Arkansas","12104","null","*****","*****",
"0500000US05083","Logan County, Arkansas","21299","null","*****","*****",
"0500000US05085","Lonoke County, Arkansas","73824","null","*****","*****",
"0500000US05087","Madison County, Arkansas","16496","null","*****","*****",
"0500000US05089","Marion County, Arkansas","16750","null","*****","*****",
"0500000US05091","Miller County, Arkansas","42875","null","*****","*****",
"0500000US05093","Mississippi County, Arkansas","41061","null","*****","*****",
"0500000US05095","Monroe County, Arkansas","6903","null","*****","*****",
"0500000US05097","Montgomery County, Arkansas","8525","null","*****","*****",
"0500000US05099","Nevada County, Arkansas","8340","null","*****","*****",
"0500000US05101","Newton County, Arkansas","7343","null","*****","*****",
"0500000US05103","Ouachita County, Arkansas","22858","null","*****","*****",
"0500000US05105","Perry County, Arkansas","10056","null","*****","*****",
"0500000US05107","Phillips County, Arkansas","16923","null","*****","*****",
"0500000US05109","Pike County, Arkansas","10234","null","*****","*****",
"0500000US05111","Poinsett County, Arkansas","23212","null","*****","*****",
"0500000US05113","Polk County, Arkansas","19476","null","*****","*****",
"0500000US05115","Pope County, Arkansas","63234","null","*****","*****",
"0500000US05117","Prairie County, Arkansas","8306","null","*****","*****",
"0500000US05119","Pulaski County, Arkansas","397931","null","*****","*****",
"0500000US05121","Randolph County, Arkansas","18442","null","*****","*****",
"0500000US05123","St. Francis County, Arkansas","23623","null","*****","*****",
"0500000US05125","Saline County, Arkansas","122308","null","*****","*****",
"0500000US05127","Scott County, Arkansas","9928","null","*****","*****",
"0500000US05129","Searcy County, Arkansas","7872","null","*****","*****",
"0500000US05131","Sebastian County, Arkansas","127941","null","*****","*****",
"0500000US05133","Sevier County, Arkansas","16074","null","*****","*****",
"0500000US05135","Sharp County, Arkansas","17243","null","*****","*****",
"0500000US05137","Stone County, Arkansas","12364","null","*****","*****",
"0500000US05139","Union County, Arkansas","39262","null","*****","*****",
"0500000US05141","Van Buren County, Arkansas","15851","null","*****","*****",
"0500000US05143","Washington County, Arkansas","242793","null","*****","*****",
"0500000US05145","White County, Arkansas","77075","null","*****","*****",
"0500000US05147","Woodruff County, Arkansas","6333","null","*****","*****",
"0500000US05149","Yell County, Arkansas","20489","null","*****","*****",
"0500000US06001","Alameda County, California","1673133","null","*****","*****",
"0500000US06003","Alpine County, California","1344","null","228","null",
"0500000US06005","Amador County, California","40095","null","*****","*****",
"0500000US06007","Butte County, California","217884","null","*****","*****",
"0500000US06009","Calaveras County, California","45349","null","*****","*****",
"0500000US06011","Colusa County, California","21780","null","*****","*****",
"0500000US06013","Contra Costa County, California","1161643","null","*****","*****",
"0500000US06015","Del Norte County, California","27655","null","*****","*****",
"0500000US06017","El Dorado County, California","190568","null","*****","*****",
"0500000US06019","Fresno County, California","1003150","null","*****","*****",
"0500000US06021","Glenn County, California","28675","null","*****","*****",
"0500000US06023","Humboldt County, California","137014","null","*****","*****",
"0500000US06025","Imperial County, California","180051","null","*****","*****",
"0500000US06027","Inyo County, California","18804","null","*****","*****",
"0500000US06029","Kern County, California","905644","null","*****","*****",
"0500000US06031","Kings County, California","151887","null","*****","*****",
"0500000US06033","Lake County, California","67749","null","*****","*****",
"0500000US06035","Lassen County, California","32949","null","*****","*****",
"0500000US06037","Los Angeles County, California","10019635","null","*****","*****",
"0500000US06039","Madera County, California","156304","null","*****","*****",
"0500000US06041","Marin County, California","262387","null","*****","*****",
"0500000US06043","Mariposa County, California","17225","null","*****","*****",
"0500000US06045","Mendocino County, California","91534","null","*****","*****",
"0500000US06047","Merced County, California","279150","null","*****","*****",
"0500000US06049","Modoc County, California","8723","null","*****","*****",
"0500000US06051","Mono County, California","13291","null","*****","*****",
"0500000US06053","Monterey County, California","438953","null","*****","*****",
"0500000US06055","Napa County, California","138795","null","*****","*****",
"0500000US06057","Nevada County, California","102090","null","*****","*****",
"0500000US06059","Orange County, California","3182923","null","*****","*****",
"0500000US06061","Placer County, California","400330","null","*****","*****",
"0500000US06063","Plumas County, California","19631","null","*****","*****",
"0500000US06065","Riverside County, California","2409331","null","*****","*****",
"0500000US06067","Sacramento County, California","1571767","null","*****","*****",
"0500000US06069","San Benito County, California","63329","null","*****","*****",
"0500000US06071","San Bernardino County, California","2171071","null","*****","*****",
"0500000US06073","San Diego County, California","3296317","null","*****","*****",
"0500000US06075","San Francisco County, California","865933","null","*****","*****",
"0500000US06077","San Joaquin County, California","771406","null","*****","*****",
"0500000US06079","San Luis Obispo County, California","282771","null","*****","*****",
"0500000US06081","San Mateo County, California","762488","null","*****","*****",
"0500000US06083","Santa Barbara County, California","447651","null","*****","*****",
"0500000US06085","Santa Clara County, California","1932022","null","*****","*****",
"0500000US06087","Santa Cruz County, California","272138","null","*****","*****",
"0500000US06089","Shasta County, California","181935","null","*****","*****",
"0500000US06091","Sierra County, California","3079","null","228","null",
"0500000US06093","Siskiyou County, California","44151","null","*****","*****",
"0500000US06095","Solano County, California","451432","null","*****","*****",
"0500000US06097","Sonoma County, California","492498","null","*****","*****",
"0500000US06099","Stanislaus County, California","550842","null","*****","*****",
"0500000US06101","Sutter County, California","99080","null","*****","*****",
"0500000US06103","Tehama County, California","65345","null","*****","*****",
"0500000US06105","Trinity County, California","15818","null","*****","*****",
"0500000US06107","Tulare County, California","470999","null","*****","*****",
"0500000US06109","Tuolumne County, California","55243","null","*****","*****",
"0500000US06111","Ventura County, California","845255","null","*****","*****",
"0500000US06113","Yolo County, California","216703","null","*****","*****",
"0500000US06115","Yuba County, California","80404","null","*****","*****",
"0500000US08001","Adams County, Colorado","514969","null","*****","*****",
"0500000US08003","Alamosa County, Colorado","16377","null","*****","*****",
"0500000US08005","Arapahoe County, Colorado","651621","null","*****","*****",
"0500000US08007","Archuleta County, Colorado","13267","null","*****","*****",
"0500000US08009","Baca County, Colorado","3519","null","*****","*****",
"0500000US08011","Bent County, Colorado","5861","null","*****","*****",
"0500000US08013","Boulder County, Colorado","328713","null","*****","*****",
"0500000US08014","Broomfield County, Colorado","72697","null","*****","*****",
"0500000US08015","Chaffee County, Colorado","19436","null","*****","*****",
"0500000US08017","Cheyenne County, Colorado","1691","null","157","null",
"0500000US08019","Clear Creek County, Colorado","9427","null","*****","*****",
"0500000US08021","Conejos County, Colorado","7579","null","*****","*****",
"0500000US08023","Costilla County, Colorado","3517","null","*****","*****",
"0500000US08025","Crowley County, Colorado","6018","null","*****","*****",
"0500000US08027","Custer County, Colorado","4720","null","*****","*****",
"0500000US08029","Delta County, Colorado","31133","null","*****","*****",
"0500000US08031","Denver County, Colorado","706799","null","*****","*****",
"0500000US08033","Dolores County, Colorado","2288","null","*****","*****",
"0500000US08035","Douglas County, Colorado","351929","null","*****","*****",
"0500000US08037","Eagle County, Colorado","55693","null","*****","*****",
"0500000US08039","Elbert County, Colorado","25897","null","*****","*****",
"0500000US08041","El Paso County, Colorado","722736","null","*****","*****",
"0500000US08043","Fremont County, Colorado","49007","null","*****","*****",
"0500000US08045","Garfield County, Colorado","61221","null","*****","*****",
"0500000US08047","Gilpin County, Colorado","5812","null","*****","*****",
"0500000US08049","Grand County, Colorado","15629","null","*****","*****",
"0500000US08051","Gunnison County, Colorado","16851","null","*****","*****",
"0500000US08053","Hinsdale County, Colorado","858","null","102","null",
"0500000US08055","Huerfano County, Colorado","6787","null","*****","*****",
"0500000US08057","Jackson County, Colorado","1375","null","145","null",
"0500000US08059","Jefferson County, Colorado","580130","null","*****","*****",
"0500000US08061","Kiowa County, Colorado","1414","null","145","null",
"0500000US08063","Kit Carson County, Colorado","7071","null","*****","*****",
"0500000US08065","Lake County, Colorado","7417","null","*****","*****",
"0500000US08067","La Plata County, Colorado","55673","null","*****","*****",
"0500000US08069","Larimer County, Colorado","354670","null","*****","*****",
"0500000US08071","Las Animas County, Colorado","14531","null","*****","*****",
"0500000US08073","Lincoln County, Colorado","5630","null","*****","*****",
"0500000US08075","Logan County, Colorado","21765","null","*****","*****",
"0500000US08077","Mesa County, Colorado","154685","null","*****","*****",
"0500000US08079","Mineral County, Colorado","794","null","127","null",
"0500000US08081","Moffat County, Colorado","13240","null","*****","*****",
"0500000US08083","Montezuma County, Colorado","25916","null","*****","*****",
"0500000US08085","Montrose County, Colorado","42328","null","*****","*****",
"0500000US08087","Morgan County, Colorado","28868","null","*****","*****",
"0500000US08089","Otero County, Colorado","18665","null","*****","*****",
"0500000US08091","Ouray County, Colorado","4850","null","*****","*****",
"0500000US08093","Park County, Colorado","17384","null","*****","*****",
"0500000US08095","Phillips County, Colorado","4497","null","*****","*****",
"0500000US08097","Pitkin County, Colorado","17471","null","*****","*****",
"0500000US08099","Prowers County, Colorado","11966","null","*****","*****",
"0500000US08101","Pueblo County, Colorado","167453","null","*****","*****",
"0500000US08103","Rio Blanco County, Colorado","6495","null","*****","*****",
"0500000US08105","Rio Grande County, Colorado","11476","null","*****","*****",
"0500000US08107","Routt County, Colorado","24899","null","*****","*****",
"0500000US08109","Saguache County, Colorado","6369","null","*****","*****",
"0500000US08111","San Juan County, Colorado","698","null","141","null",
"0500000US08113","San Miguel County, Colorado","8084","null","*****","*****",
"0500000US08115","Sedgwick County, Colorado","2459","null","157","null",
"0500000US08117","Summit County, Colorado","31042","null","*****","*****",
"0500000US08119","Teller County, Colorado","24607","null","*****","*****",
"0500000US08121","Washington County, Colorado","4834","null","*****","*****",
"0500000US08123","Weld County, Colorado","322424","null","*****","*****",
"0500000US08125","Yuma County, Colorado","9944","null","*****","*****",
"0500000US09001","Fairfield County, Connecticut","956446","null","*****","*****",
"0500000US09003","Hartford County, Connecticut","898636","null","*****","*****",
"0500000US09005","Litchfield County, Connecticut","185175","null","*****","*****",
"0500000US09007","Middlesex County, Connecticut","164568","null","*****","*****",
"0500000US09009","New Haven County, Connecticut","864751","null","*****","*****",
"0500000US09011","New London County, Connecticut","269131","null","*****","*****",
"0500000US09013","Tolland County, Connecticut","150120","null","*****","*****",
"0500000US09015","Windham County, Connecticut","116503","null","*****","*****",
"0500000US10001","Kent County, Delaware","180078","null","*****","*****",
"0500000US10003","New Castle County, Delaware","567769","null","*****","*****",
"0500000US10005","Sussex County, Delaware","234045","null","*****","*****",
"0500000US11001","District of Columbia, District of Columbia","683154","null","*****","*****",
"0500000US12001","Alachua County, Florida","276171","null","*****","*****",
"0500000US12003","Baker County, Florida","28003","null","*****","*****",
"0500000US12005","Bay County, Florida","181384","null","*****","*****",
"0500000US12007","Bradford County, Florida","27928","null","*****","*****",
"0500000US12009","Brevard County, Florida","601573","null","*****","*****",
"0500000US12011","Broward County, Florida","1934551","null","*****","*****",
"0500000US12013","Calhoun County, Florida","13863","null","*****","*****",
"0500000US12015","Charlotte County, Florida","184837","null","*****","*****",
"0500000US12017","Citrus County, Florida","151888","null","*****","*****",
"0500000US12019","Clay County, Florida","216308","null","*****","*****",
"0500000US12021","Collier County, Florida","372797","null","*****","*****",
"0500000US12023","Columbia County, Florida","69265","null","*****","*****",
"0500000US12027","DeSoto County, Florida","34027","null","*****","*****",
"0500000US12029","Dixie County, Florida","16701","null","*****","*****",
"0500000US12031","Duval County, Florida","983153","null","*****","*****",
"0500000US12033","Escambia County, Florida","318828","null","*****","*****",
"0500000US12035","Flagler County, Florida","113888","null","*****","*****",
"0500000US12037","Franklin County, Florida","12232","null","*****","*****",
"0500000US12039","Gadsden County, Florida","44233","null","*****","*****",
"0500000US12041","Gilchrist County, Florida","17759","null","*****","*****",
"0500000US12043","Glades County, Florida","12183","null","*****","*****",
"0500000US12045","Gulf County, Florida","15205","null","*****","*****",
"0500000US12047","Hamilton County, Florida","13973","null","*****","*****",
"0500000US12049","Hardee County, Florida","25632","null","*****","*****",
"0500000US12051","Hendry County, Florida","39439","null","*****","*****",
"0500000US12053","Hernando County, Florida","192128","null","*****","*****",
"0500000US12055","Highlands County, Florida","101174","null","*****","*****",
"0500000US12057","Hillsborough County, Florida","1444359","null","*****","*****",
"0500000US12059","Holmes County, Florida","19622","null","*****","*****",
"0500000US12061","Indian River County, Florida","158002","null","*****","*****",
"0500000US12063","Jackson County, Florida","48067","null","*****","*****",
"0500000US12065","Jefferson County, Florida","14405","null","*****","*****",
"0500000US12067","Lafayette County, Florida","8343","null","*****","*****",
"0500000US12069","Lake County, Florida","375059","null","*****","*****",
"0500000US12071","Lee County, Florida","752251","null","*****","*****",
"0500000US12073","Leon County, Florida","290965","null","*****","*****",
"0500000US12075","Levy County, Florida","42392","null","*****","*****",
"0500000US12077","Liberty County, Florida","7987","null","*****","*****",
"0500000US12079","Madison County, Florida","18051","null","*****","*****",
"0500000US12081","Manatee County, Florida","394824","null","*****","*****",
"0500000US12083","Marion County, Florida","370372","null","*****","*****",
"0500000US12085","Martin County, Florida","158323","null","*****","*****",
"0500000US12086","Miami-Dade County, Florida","2690113","null","*****","*****",
"0500000US12087","Monroe County, Florida","82244","null","*****","*****",
"0500000US12089","Nassau County, Florida","88492","null","*****","*****",
"0500000US12091","Okaloosa County, Florida","209230","null","*****","*****",
"0500000US12093","Okeechobee County, Florida","39716","null","*****","*****",
"0500000US12095","Orange County, Florida","1409949","null","*****","*****",
"0500000US12097","Osceola County, Florida","380331","null","*****","*****",
"0500000US12099","Palm Beach County, Florida","1481233","null","*****","*****",
"0500000US12101","Pasco County, Florida","551598","null","*****","*****",
"0500000US12103","Pinellas County, Florida","957989","null","*****","*****",
"0500000US12105","Polk County, Florida","713148","null","*****","*****",
"0500000US12107","Putnam County, Florida","73147","null","*****","*****",
"0500000US12109","St. Johns County, Florida","265724","null","*****","*****",
"0500000US12111","St. Lucie County, Florida","324599","null","*****","*****",
"0500000US12113","Santa Rosa County, Florida","184345","null","*****","*****",
"0500000US12115","Sarasota County, Florida","429336","null","*****","*****",
"0500000US12117","Seminole County, Florida","467382","null","*****","*****",
"0500000US12119","Sumter County, Florida","127335","null","*****","*****",
"0500000US12121","Suwannee County, Florida","43514","null","*****","*****",
"0500000US12123","Taylor County, Florida","21762","null","*****","*****",
"0500000US12125","Union County, Florida","16141","null","*****","*****",
"0500000US12127","Volusia County, Florida","548783","null","*****","*****",
"0500000US12129","Wakulla County, Florida","33144","null","*****","*****",
"0500000US12131","Walton County, Florida","73456","null","*****","*****",
"0500000US12133","Washington County, Florida","24906","null","*****","*****",
"0500000US13001","Appling County, Georgia","18509","null","*****","*****",
"0500000US13003","Atkinson County, Georgia","8269","null","*****","*****",
"0500000US13005","Bacon County, Georgia","11163","null","*****","*****",
"0500000US13007","Baker County, Georgia","2928","null","*****","*****",
"0500000US13009","Baldwin County, Georgia","43876","null","*****","*****",
"0500000US13011","Banks County, Georgia","18061","null","*****","*****",
"0500000US13013","Barrow County, Georgia","82138","null","*****","*****",
"0500000US13015","Bartow County, Georgia","107868","null","*****","*****",
"0500000US13017","Ben Hill County, Georgia","17237","null","*****","*****",
"0500000US13019","Berrien County, Georgia","18195","null","*****","*****",
"0500000US13021","Bibb County, Georgia","156711","null","*****","*****",
"0500000US13023","Bleckley County, Georgia","12562","null","*****","*****",
"0500000US13025","Brantley County, Georgia","18072","null","*****","*****",
"0500000US13027","Brooks County, Georgia","16254","null","*****","*****",
"0500000US13029","Bryan County, Georgia","43278","null","*****","*****",
"0500000US13031","Bulloch County, Georgia","79635","null","*****","*****",
"0500000US13033","Burke County, Georgia","24231","null","*****","*****",
"0500000US13035","Butts County, Georgia","24950","null","*****","*****",
"0500000US13037","Calhoun County, Georgia","5668","null","*****","*****",
"0500000US13039","Camden County, Georgia","54256","null","*****","*****",
"0500000US13043","Candler County, Georgia","10885","null","*****","*****",
"0500000US13045","Carroll County, Georgia","118402","null","*****","*****",
"0500000US13047","Catoosa County, Georgia","67579","null","*****","*****",
"0500000US13049","Charlton County, Georgia","12416","null","*****","*****",
"0500000US13051","Chatham County, Georgia","294815","null","*****","*****",
"0500000US13053","Chattahoochee County, Georgia","9533","null","*****","*****",
"0500000US13055","Chattooga County, Georgia","24898","null","*****","*****",
"0500000US13057","Cherokee County, Georgia","262155","null","*****","*****",
"0500000US13059","Clarke County, Georgia","128195","null","*****","*****",
"0500000US13061","Clay County, Georgia","2883","null","*****","*****",
"0500000US13063","Clayton County, Georgia","294335","null","*****","*****",
"0500000US13065","Clinch County, Georgia","6737","null","*****","*****",
"0500000US13067","Cobb County, Georgia","762500","null","*****","*****",
"0500000US13069","Coffee County, Georgia","43048","null","*****","*****",
"0500000US13071","Colquitt County, Georgia","45800","null","*****","*****",
"0500000US13073","Columbia County, Georgia","154274","null","*****","*****",
"0500000US13075","Cook County, Georgia","17188","null","*****","*****",
"0500000US13077","Coweta County, Georgia","144928","null","*****","*****",
"0500000US13079","Crawford County, Georgia","12159","null","*****","*****",
"0500000US13081","Crisp County, Georgia","20524","null","*****","*****",
"0500000US13083","Dade County, Georgia","16313","null","*****","*****",
"0500000US13085","Dawson County, Georgia","26202","null","*****","*****",
"0500000US13087","Decatur County, Georgia","29020","null","*****","*****",
"0500000US13089","DeKalb County, Georgia","758634","null","*****","*****",
"0500000US13091","Dodge County, Georgia","20089","null","*****","*****",
"0500000US13093","Dooly County, Georgia","11546","null","*****","*****",
"0500000US13095","Dougherty County, Georgia","86825","null","*****","*****",
"0500000US13097","Douglas County, Georgia","143520","null","*****","*****",
"0500000US13099","Early County, Georgia","10813","null","*****","*****",
"0500000US13101","Echols County, Georgia","3691","null","*****","*****",
"0500000US13103","Effingham County, Georgia","63448","null","*****","*****",
"0500000US13105","Elbert County, Georgia","19453","null","*****","*****",
"0500000US13107","Emanuel County, Georgia","22739","null","*****","*****",
"0500000US13109","Evans County, Georgia","10761","null","*****","*****",
"0500000US13111","Fannin County, Georgia","25198","null","*****","*****",
"0500000US13113","Fayette County, Georgia","117828","null","*****","*****",
"0500000US13115","Floyd County, Georgia","98210","null","*****","*****",
"0500000US13117","Forsyth County, Georgia","245754","null","*****","*****",
