ZCTA5,Place GEOID,Land Area,Water Area
00795,7231877,0.485,0.0
00795,7238972,1.505,0.017
00795,7247615,0.46,0.0
00795,7261545,0.632,0.003
00795,7264127,0.509,0.0
00795,7270706,0.325,0.0
00802,7816300,1.209,0.0
00802,7818100,0.333,0.0
00802,7819000,1.972,0.011
00802,7865530,0.283,0.277
00802,7878300,1.635,0.011
00820,7819900,0.514,0.0
00830,7827000,1.831,0.376
00830,7828000,3.022,0.951
00840,7837900,0.17,0.018
00840,7839700,1.011,0.0
00901,7276770,1.015,1.61
00906,7276770,0.003,0.0
00907,7276770,2.043,2.005
00909,7276770,0.653,0.045
00911,7276770,0.476,0.264
00912,7276770,0.371,0.0
00913,7276770,0.324,0.833
00915,7212806,0.313,0.017
00915,7276770,1.088,0.3
00917,7212806,0.371,0.018
00917,7276770,0.994,0.0
00918,7276770,2.698,0.058
00920,7276770,3.61,0.947
00921,7276770,3.069,0.0
00923,7212806,0.004,0.0
00923,7276770,2.006,0.362
00924,7214290,0.163,0.0
00924,7276770,4.5,0.37
00925,7276770,0.446,0.0
00926,7232522,0.137,0.0
00926,7276770,12.946,0.043
00926,7283606,0.94,0.01
00927,7276770,2.423,0.002
00934,7206593,0.439,0.01
00934,7232522,0.98,0.0
00949,7208722,0.194,0.0
00949,7211581,0.522,0.0
00949,7211597,0.036,0.0
00949,7212441,2.807,0.001
00949,7212560,0.998,0.002
00949,7215193,0.644,1.099
00949,7236263,0.543,0.0
00949,7243294,0.037,0.0
00949,7250260,2.703,0.159
00949,7250270,0.047,0.0
00949,7257612,0.052,0.0
00949,7274189,0.011,0.0
00949,7276683,1.144,0.013
00949,7282617,0.201,0.0
00949,7282692,0.061,0.0
00949,7286250,0.083,0.0
00949,7286509,0.01,0.0
00949,7286584,0.051,0.0
00949,7287240,0.025,0.0
00949,7287272,0.075,0.001
00951,7282617,0.386,0.019
00952,7226362,0.065,0.0
00952,7250260,0.014,0.0
00952,7274189,1.095,0.0
00953,7212441,0.196,0.0
00953,7229813,0.643,0.001
00953,7235403,0.663,0.001
00953,7255355,0.325,0.0
00953,7257806,1.534,0.0
00953,7282488,0.702,0.015
00956,7206593,9.485,0.01
00957,7206593,4.046,0.001
00959,7206593,6.013,0.032
00959,7232522,0.045,0.0
00960,7206593,1.402,0.011
00961,7206593,5.282,0.065
00961,7215193,0.052,0.0
00962,7215193,4.136,1.069
00962,7232522,0.68,0.002
00965,7232522,0.905,0.127
00966,7206593,0.165,0.0
00966,7232522,2.155,0.0
00966,7276770,0.201,0.0
00968,7232522,0.456,0.0
00969,7206593,0.19,0.0
00969,7232522,4.02,0.02
00969,7276770,0.564,0.0
00971,7232522,2.669,0.015
00976,7214290,0.434,0.0
00976,7276770,0.385,0.0
00976,7283606,6.459,0.117
00979,7214290,3.889,2.772
00982,7214290,1.443,0.007
00983,7214290,4.321,0.385
00985,7214290,3.879,0.143
00987,7214290,6.579,0.085
01001,2500840,11.292,0.822
01002,2501370,26.821,0.126
01003,2501370,0.804,0.005
01005,2503705,1.582,0.0
01007,2504790,5.031,0.002
01008,2506050,1.15,0.002
01009,2552144,0.697,0.0
01011,2513450,1.395,0.032
01013,2513660,5.66,0.585
01020,2513660,12.431,0.382
01020,2567000,0.03,0.0
01022,2513660,4.814,0.001
01027,2519370,13.321,0.281
01027,2546330,0.088,0.001
01028,2567000,0.007,0.0
01030,2500840,12.029,0.191
01033,2526500,3.475,0.004
01038,2529230,2.45,0.085
01040,2530840,21.165,1.632
01050,2531750,4.629,0.114
01053,2546330,5.751,0.088
01057,2542180,3.355,0.011
01060,2546330,10.868,1.254
01062,2546330,17.452,0.161
01063,2546330,0.088,0.0
01069,2552144,27.088,0.304
01071,2558615,2.302,0.041
01077,2576030,0.036,0.0
01079,2552144,1.607,0.019
01080,2552144,1.665,0.099
01082,2552144,0.07,0.0
01082,2572845,6.22,0.136
01083,2573055,1.284,0.015
01085,2576030,46.225,1.054
01089,2577890,16.73,0.806
01092,2578445,1.267,0.006
01095,2552144,0.445,0.0
01095,2579705,5.592,0.063
01103,2567000,0.435,0.0
01104,2567000,5.232,0.15
01105,2567000,1.206,0.117
01106,2536335,9.089,0.506
01106,2567000,0.496,0.054
01107,2567000,1.542,0.129
01108,2567000,3.419,0.102
01109,2567000,5.441,0.194
01118,2567000,3.596,0.094
01119,2567000,3.531,0.097
01128,2567000,1.109,0.0
01129,2567000,3.436,0.088
01144,2567000,0.022,0.0
01151,2567000,2.369,0.185
01201,2553960,40.468,1.994
01220,2500590,2.45,0.026
01225,2513310,0.384,0.0
01230,2526780,1.441,0.047
01230,2531295,0.46,0.086
01236,2531295,0.432,0.0
01238,2534620,1.325,0.036
01238,2535040,0.033,0.008
01240,2534935,1.995,0.01
01240,2535040,0.054,0.0
01242,2535040,0.459,0.0
01247,2546225,20.347,0.267
01267,2579950,3.398,0.032
01301,2527060,21.413,0.461
01331,2502515,8.187,0.28
01342,2516635,1.837,0.032
01344,2541410,0.401,0.042
01349,2541410,0.511,0.004
01360,2547800,4.453,0.018
01364,2551230,5.992,0.065
01366,2553085,1.234,0.0
01370,2561205,2.629,0.083
01373,2563620,3.154,0.11
01376,2570815,1.901,0.4
01420,2523875,27.594,0.293
01420,2535075,2.464,0.399
01430,2562780,2.984,0.011
01432,2503040,1.314,0.063
01432,2516840,1.635,0.022
01434,2503040,0.013,0.0
01434,2516840,4.488,0.068
01436,2503355,2.499,0.081
01440,2525485,22.068,0.947
01450,2527445,1.672,0.001
01453,2535075,26.359,0.46
01460,2536020,3.54,0.163
01462,2523875,0.23,0.0
01462,2537385,3.797,0.0
01463,2520310,1.416,0.037
01463,2552770,2.071,0.071
01464,2516840,0.661,0.0
01464,2561555,1.318,0.017
01468,2503355,0.067,0.0
01469,2570325,1.694,0.031
01475,2580370,2.265,0.173
01506,2509070,1.152,0.0
01510,2514430,1.493,0.003
01515,2518595,1.618,0.156
01516,2518875,3.407,0.12
01518,2523840,2.338,0.039
01521,2530630,2.654,0.613
01523,2564460,1.289,0.015
01532,2546785,3.285,0.028
01534,2579495,0.348,0.0
01535,2547100,1.476,0.0
01540,2551790,3.464,0.223
01543,2558790,2.958,0.234
01545,2582000,0.02,0.05
01550,2563345,20.238,0.623
01561,2564460,0.038,0.0
01562,2566070,2.109,0.063
01566,2523840,0.83,0.105
01566,2568120,5.329,0.075
01568,2571445,2.469,0.08
01570,2573930,2.971,0.055
01581,2575050,1.888,0.017
01583,2582000,0.01,0.0
01585,2575365,1.264,0.507
01588,2579495,3.294,0.386
01602,2582000,5.829,0.244
01603,2582000,4.457,0.128
01604,2582000,6.631,0.165
01605,2582000,5.654,0.132
01606,2582000,5.602,0.299
01607,2582000,2.811,0.039
01608,2582000,0.482,0.0
01609,2582000,3.734,0.022
01610,2582000,2.132,0.005
01701,2524960,16.889,0.622
01702,2524960,8.155,0.839
01730,2509875,0.038,0.0
01731,2528425,0.891,0.0
01731,2535250,0.267,0.0
01742,2575680,3.376,0.204
01747,2530980,1.748,0.004
01748,2531050,1.532,0.003
01749,2531575,5.746,0.175
01752,2538715,20.86,1.237
01754,2539660,5.197,0.155
01757,2541200,10.154,0.236
01760,2514570,0.009,0.0
01772,2515340,1.816,0.003
01773,2528425,0.001,0.0
01773,2572600,0.016,0.0
01775,2539660,0.012,0.0
01778,2514570,3.8,0.357
01801,2556165,0.018,0.0
01801,2567700,0.037,0.0
01801,2581035,12.65,0.294
01803,2509875,11.271,0.111
01810,2501430,3.562,0.081
01821,2553680,3.73,0.038
01824,2537000,0.133,0.007
