GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
03547|400C200US03547|Astoria, OR Urban Area|24953412|334509|9.635|0.129|46.190059|-123.810292
03601|400C200US03601|Atchison, KS Urban Area|13947855|115035|5.385|0.044|39.565798|-95.13284
03655|400C200US03655|Athens, AL Urban Area|52057134|299071|20.099|0.115|34.797624|-86.962366
03682|400C200US03682|Athens, OH Urban Area|24482525|372545|9.453|0.144|39.332266|-82.104873
03709|400C200US03709|Athens, TN Urban Area|40074160|297|15.473|0.|35.452502|-84.609521
03736|400C200US03736|Athens, TX Urban Area|24138740|64685|9.32|0.025|32.198133|-95.849966
03763|400C200US03763|Athens-Clarke County, GA Urban Area|237923823|2407255|91.863|0.929|33.944601|-83.396107
03790|400C200US03790|Athol, MA Urban Area|27485591|1191720|10.612|0.46|42.599692|-72.237254
03817|400C200US03817|Atlanta, GA Urban Area|6612763942|99430143|2553.203|38.39|33.834858|-84.337701
03844|400C200US03844|Atlanta, TX Urban Area|17636485|99001|6.809|0.038|33.13|-94.169682
03871|400C200US03871|Atlantic, IA Urban Area|11616774|113854|4.485|0.044|41.397778|-95.009637
03904|400C200US03904|Atlantic City--Ocean City--Villas, NJ Urban Area|421846157|10625398|162.876|4.102|39.239372|-74.66394
03925|400C200US03925|Atmore, AL Urban Area|13219600|52468|5.104|0.02|31.025074|-87.488688
03957|400C200US03957|Atoka, TN Urban Area|25705277|72575|9.925|0.028|35.436176|-89.777209
04021|400C200US04021|Aubrey, TX Urban Area|7097068|11230|2.74|0.004|33.290517|-96.98788
04033|400C200US04033|Auburn, AL Urban Area|158437551|1469856|61.173|0.568|32.611382|-85.452135
04060|400C200US04060|Auburn, IN Urban Area|25597778|0|9.883|0.|41.361557|-85.075974
04114|400C200US04114|Auburn, NY Urban Area|33965646|211524|13.114|0.082|42.922279|-76.558539
04130|400C200US04130|Auburn, CA Urban Area|44648436|22143|17.239|0.009|38.925771|-121.080791
04146|400C200US04146|Au Gres, MI Urban Area|10264539|168489|3.963|0.065|44.043392|-83.689549
04168|400C200US04168|Augusta, KS Urban Area|9628591|695128|3.718|0.268|37.694382|-96.973186
04195|400C200US04195|Augusta, ME Urban Area|56742345|1870733|21.908|0.722|44.323856|-69.807516
04222|400C200US04222|Augusta-Richmond County, GA--SC Urban Area|707938387|5697495|273.337|2.2|33.485271|-82.001784
04276|400C200US04276|Aurora, MO Urban Area|13643893|37212|5.268|0.014|36.965645|-93.720407
04357|400C200US04357|Austin, MN Urban Area|25986608|254097|10.033|0.098|43.668767|-92.976697
04384|400C200US04384|Austin, TX Urban Area|1604777276|12578031|619.608|4.856|30.380036|-97.765795
04438|400C200US04438|Avalon, CA Urban Area|3080708|0|1.189|0.|33.34166|-118.329744
04465|400C200US04465|Avenal, CA Urban Area|9397889|0|3.629|0.|36.000567|-120.132966
04587|400C200US04587|Aztec, NM Urban Area|17566785|264792|6.783|0.102|36.828868|-108.000173
04627|400C200US04627|Bainbridge, GA Urban Area|27679797|613482|10.687|0.237|30.906213|-84.572652
04654|400C200US04654|Baker City, OR Urban Area|11601574|0|4.479|0.|44.780684|-117.83368
04681|400C200US04681|Bakersfield, CA Urban Area|342190996|2545322|132.121|0.983|35.365109|-119.049231
04843|400C200US04843|Baltimore, MD Urban Area|1696277259|55796320|654.936|21.543|39.23648|-76.642499
04924|400C200US04924|Bandon, OR Urban Area|12601916|41944|4.866|0.016|43.106208|-124.420961
04951|400C200US04951|Bangor, ME Urban Area|132390044|4822906|51.116|1.862|44.798865|-68.806636
05005|400C200US05005|Baraboo, WI Urban Area|17518064|214011|6.764|0.083|43.46854|-89.748766
05032|400C200US05032|Barbourville, KY Urban Area|13723574|68008|5.299|0.026|36.860167|-83.870451
05040|400C200US05040|Barceloneta--Florida--Bajadero, PR Urban Area|108000094|70775|41.699|0.027|18.41848|-66.606724
05059|400C200US05059|Bardstown, KY Urban Area|34627755|271017|13.37|0.105|37.830694|-85.459261
05113|400C200US05113|Barnesville, GA Urban Area|15060466|109101|5.815|0.042|33.056346|-84.160191
05167|400C200US05167|Barnstable Town, MA Urban Area|883800098|90403719|341.237|34.905|41.627072|-70.61661
05221|400C200US05221|Barre--Montpelier, VT Urban Area|37244628|421897|14.38|0.163|44.212909|-72.526918
05302|400C200US05302|Barstow, CA Urban Area|32069090|0|12.382|0.|34.886704|-117.032814
05329|400C200US05329|Bartlesville, OK Urban Area|51169661|32200|19.757|0.012|36.74927|-95.943864
05383|400C200US05383|Bartow, FL Urban Area|20461749|669405|7.9|0.258|27.890152|-81.838405
05410|400C200US05410|Basalt, CO Urban Area|9432939|68797|3.642|0.027|39.38358|-107.080731
05437|400C200US05437|Bastrop, LA Urban Area|26749993|105190|10.328|0.041|32.776054|-91.911145
05464|400C200US05464|Bastrop, TX Urban Area|46957628|620596|18.13|0.24|30.10718|-97.344734
05491|400C200US05491|Batavia, NY Urban Area|20898199|118102|8.069|0.046|43.002881|-78.176038
05518|400C200US05518|Batesburg-Leesville, SC Urban Area|14439133|163954|5.575|0.063|33.908796|-81.529076
05545|400C200US05545|Batesville, AR Urban Area|20309444|22032|7.842|0.009|35.779394|-91.630531
05572|400C200US05572|Batesville, IN Urban Area|14171804|190699|5.472|0.074|39.30081|-85.215672
05599|400C200US05599|Batesville, MS Urban Area|16264239|0|6.28|0.|34.319332|-89.94112
05653|400C200US05653|Bath, NY Urban Area|7524259|244508|2.905|0.094|42.339846|-77.312811
05680|400C200US05680|Baton Rouge, LA Urban Area|1026563986|11263848|396.359|4.349|30.410839|-91.032862
05707|400C200US05707|Battle Creek, MI Urban Area|122589423|4151930|47.332|1.603|42.313131|-85.20252
05734|400C200US05734|Battlement Mesa, CO Urban Area|7929541|56226|3.062|0.022|39.442496|-108.043023
05788|400C200US05788|Baxley, GA Urban Area|16211661|9821|6.259|0.004|31.771186|-82.346883
05842|400C200US05842|Bayard, NM Urban Area|8065434|64219|3.114|0.025|32.695934|-108.118383
05869|400C200US05869|Bay City, MI Urban Area|103422424|2949657|39.932|1.139|43.608667|-83.890414
05896|400C200US05896|Bay City, TX Urban Area|26972311|41853|10.414|0.016|28.985126|-95.951212
05923|400C200US05923|Bay Minette, AL Urban Area|18014162|143683|6.955|0.055|30.881721|-87.777638
05935|400C200US05935|Bayside Gardens--Manzanita, OR Urban Area|7720066|3042|2.981|0.001|45.71741|-123.918666
05958|400C200US05958|Bealeton, VA Urban Area|11316794|20377|4.369|0.008|38.571106|-77.769645
05977|400C200US05977|Beardstown, IL Urban Area|5541099|96717|2.139|0.037|40.011448|-90.425261
06004|400C200US06004|Beatrice, NE Urban Area|22479304|168499|8.679|0.065|40.274298|-96.744552
06031|400C200US06031|Beaufort--Port Royal, SC Urban Area|113358746|1407259|43.768|0.543|32.430552|-80.714653
06058|400C200US06058|Beaumont, TX Urban Area|248949029|3923385|96.12|1.515|30.110762|-94.129316
06085|400C200US06085|Beaver Dam, KY Urban Area|8811960|24352|3.402|0.009|37.406682|-86.87647
06112|400C200US06112|Beaver Dam, WI Urban Area|24305027|71584|9.384|0.028|43.471648|-88.82927
06139|400C200US06139|Beckley, WV Urban Area|138969658|424803|53.656|0.164|37.789184|-81.229955
06166|400C200US06166|Bedford, IN Urban Area|22034934|2314|8.508|0.001|38.862636|-86.498249
06193|400C200US06193|Bedford, PA Urban Area|9941197|270639|3.838|0.104|40.032726|-78.508804
06220|400C200US06220|Bedford, VA Urban Area|22211672|30240|8.576|0.012|37.339142|-79.524904
06247|400C200US06247|Beebe, AR Urban Area|11586683|0|4.474|0.|35.07041|-91.89251
06274|400C200US06274|Beeville, TX Urban Area|16350546|0|6.313|0.|28.406366|-97.748367
06290|400C200US06290|Bel Air--Aberdeen, MD Urban Area|277641998|3614984|107.198|1.396|39.510202|-76.286724
06301|400C200US06301|Belding, MI Urban Area|7530588|154362|2.908|0.06|43.09647|-85.234104
06335|400C200US06335|Belfair, WA Urban Area|13854178|1964|5.349|0.001|47.445989|-122.8604
06355|400C200US06355|Belfast, ME Urban Area|9147127|45394|3.532|0.018|44.41684|-68.99446
06382|400C200US06382|Belgrade, MT Urban Area|34572862|107241|13.349|0.041|45.7759|-111.18265
06436|400C200US06436|Bellefontaine, OH Urban Area|16085086|0|6.21|0.|40.359387|-83.753111
06463|400C200US06463|Bellefonte, PA Urban Area|20202676|0|7.8|0.|40.911329|-77.786548
06490|400C200US06490|Belle Fourche, SD Urban Area|7406386|0|2.86|0.|44.665885|-103.850796
06517|400C200US06517|Belle Glade, FL Urban Area|18672878|0|7.21|0.|26.683623|-80.67831
06571|400C200US06571|Belle Plaine, MN Urban Area|9205855|0|3.554|0.|44.61807|-93.759712
06625|400C200US06625|Bellevue, OH Urban Area|11577759|181429|4.47|0.07|41.277074|-82.84458
06652|400C200US06652|Bellingham, WA Urban Area|129940931|7539664|50.17|2.911|48.773005|-122.480881
06679|400C200US06679|Bellows Falls, VT--NH Urban Area|6272974|121090|2.422|0.047|43.131472|-72.449764
06760|400C200US06760|Beloit, WI--IL Urban Area|82714572|2162887|31.936|0.835|42.503862|-89.027523
06770|400C200US06770|Belterra, TX Urban Area|8700392|0|3.359|0.|30.188169|-97.987033
06779|400C200US06779|Belton, SC Urban Area|11814231|28235|4.562|0.011|34.527111|-82.49847
06841|400C200US06841|Bemidji, MN Urban Area|37486601|2705902|14.474|1.045|47.48452|-94.89423
06868|400C200US06868|Bend, OR Urban Area|109816985|804555|42.401|0.311|44.050969|-121.31822
06895|400C200US06895|Bennettsville, SC Urban Area|19343243|1278568|7.468|0.494|34.621515|-79.684769
06922|400C200US06922|Bennington, VT Urban Area|30118865|301080|11.629|0.116|42.899989|-73.204499
06949|400C200US06949|Benson, AZ Urban Area|7028637|4137|2.714|0.002|31.961786|-110.294175
07030|400C200US07030|Benton, IL Urban Area|12901647|38951|4.981|0.015|38.000944|-88.919648
07057|400C200US07057|Benton, KY Urban Area|10689687|141709|4.127|0.055|36.851835|-88.359536
07084|400C200US07084|Benton, LA Urban Area|11591809|17419|4.476|0.007|32.672625|-93.725459
07138|400C200US07138|Benton Harbor--Lincoln--St. Joseph, MI Urban Area|136065026|3203057|52.535|1.237|42.052276|-86.480381
07165|400C200US07165|Berea, KY Urban Area|29729758|132947|11.479|0.051|37.583562|-84.293019
07192|400C200US07192|Berlin, NH Urban Area|12810052|451316|4.946|0.174|44.482025|-71.16291
07219|400C200US07219|Berlin, WI Urban Area|8947266|33714|3.455|0.013|43.970639|-88.947368
07300|400C200US07300|Berryville, AR Urban Area|10832202|0|4.182|0.|36.369166|-93.563263
07381|400C200US07381|Bethel, AK Urban Area|38506229|638037|14.867|0.246|60.7653|-161.804893
07472|400C200US07472|Beverly Hills--Homosassa Springs--Pine Ridge, FL Urban Area|307791877|9512363|118.839|3.673|28.892909|-82.443778
07508|400C200US07508|Big Bear, CA Urban Area|41255481|552966|15.929|0.214|34.244205|-116.854109
07530|400C200US07530|Big Lake, MN Urban Area|14060787|2124522|5.429|0.82|45.339948|-93.745209
07597|400C200US07597|Big Pine Key, FL Urban Area|21918342|658787|8.463|0.254|24.661751|-81.414396
07624|400C200US07624|Big Rapids, MI Urban Area|19019306|151973|7.343|0.059|43.692418|-85.481129
07651|400C200US07651|Big Spring, TX Urban Area|53437980|606612|20.633|0.234|32.244288|-101.461699
07678|400C200US07678|Big Stone Gap, VA Urban Area|17044893|231723|6.581|0.089|36.864971|-82.764885
07705|400C200US07705|Billings, MT Urban Area|141658475|353613|54.695|0.137|45.787459|-108.53712
07732|400C200US07732|Binghamton, NY Urban Area|180629016|7908307|69.741|3.053|42.10852|-75.964231
07759|400C200US07759|Birch Bay, WA Urban Area|33763473|455850|13.036|0.176|48.947603|-122.735883
07770|400C200US07770|Birdsboro--Amity, PA Urban Area|22176287|29128|8.562|0.011|40.265603|-75.749569
