GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
03979	Attica, IN Urban Cluster	C	10213793	85101	3.944	0.033	40.29083	-87.269893                                                                                                                         
04006	Attica, NY Urban Cluster	C	5831429	0	2.252	0.	42.873711	-78.271755                                                                                                                                
04021	Aubrey, TX Urban Cluster	C	6113068	2579	2.36	0.001	33.288094	-96.989684                                                                                                                           
04033	Auburn, AL Urbanized Area	U	129268656	886517	49.911	0.342	32.614294	-85.443932                                                                                                                    
04054	Auburn, IL Urban Cluster	C	5165234	0	1.994	0.	39.590034	-89.749542                                                                                                                                
04060	Auburn, IN Urban Cluster	C	30212489	0	11.665	0.	41.369662	-85.070751                                                                                                                              
04087	Auburn, NE Urban Cluster	C	5209916	0	2.012	0.	40.388473	-95.843411                                                                                                                                
04114	Auburn, NY Urban Cluster	C	33428860	239530	12.907	0.092	42.926811	-76.561994                                                                                                                      
04130	Auburn--North Auburn, CA Urban Cluster	C	69229680	230477	26.73	0.089	38.932512	-121.079665                                                                                                        
04168	Augusta, KS Urban Cluster	C	10633865	690960	4.106	0.267	37.69194	-96.973193                                                                                                                       
04195	Augusta, ME Urban Cluster	C	44898071	724961	17.335	0.28	44.265201	-69.782274                                                                                                                      
04222	Augusta-Richmond County, GA--SC Urbanized Area	U	672475992	6782176	259.644	2.619	33.487951	-81.996378                                                                                             
04249	Aumsville, OR Urban Cluster	C	2979920	0	1.151	0.	44.845016	-122.866978                                                                                                                            
04276	Aurora, MO Urban Cluster	C	15212085	39864	5.873	0.015	36.967117	-93.730413                                                                                                                        
04303	Aurora, NE Urban Cluster	C	5487637	14529	2.119	0.006	40.867831	-98.003674                                                                                                                         
04330	Au Sable, MI Urban Cluster	C	27106175	628627	10.466	0.243	44.45283	-83.346783                                                                                                                     
04357	Austin, MN Urban Cluster	C	31664662	254097	12.226	0.098	43.671232	-92.977883                                                                                                                      
04384	Austin, TX Urbanized Area	U	1355592421	10923362	523.397	4.218	30.358514	-97.761533                                                                                                                
04411	Ava, MO Urban Cluster	C	5412269	1126	2.09	0.	36.954458	-92.661589                                                                                                                                 
04438	Avalon, CA Urban Cluster	C	3433845	0	1.326	0.	33.341576	-118.328755                                                                                                                               
04465	Avenal, CA Urban Cluster	C	7911575	0	3.055	0.	35.993165	-120.126356                                                                                                                               
04519	Avon, NY Urban Cluster	C	10085532	0	3.894	0.	42.899102	-77.741633                                                                                                                                 
04549	Avondale--Goodyear, AZ Urbanized Area	U	227533466	829456	87.851	0.32	33.472717	-112.399026                                                                                                        
