GEOID,Name,Primary County,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
01684,"Alpena, MI Urban Cluster",26007,14258,7137,24395070,1830884,45.063072,-83.453033
01711,"Alpine, TX Urban Cluster",48043,6013,3081,10814928,335,30.358305,-103.664632
01738,"Altavista, VA Urban Cluster",51031,4663,2234,14409084,122187,37.113627,-79.294132
01765,"Alton, IL--MO Urbanized Area",17119,83890,38237,142052251,1913840,38.897792,-90.128014
01792,"Altoona, PA Urbanized Area",42013,79930,35760,96869930,164785,40.485263,-78.393865
01819,"Alturas, CA Urban Cluster",06049,2910,1416,4933312,16517,41.489183,-120.546287
01846,"Altus, OK Urban Cluster",40065,19900,8973,31488097,521227,34.652723,-99.310867
01873,"Alva, OK Urban Cluster",40151,5620,2616,6803003,0,36.801096,-98.664669
01900,"Alvarado, TX Urban Cluster",48251,4133,1630,7362427,19915,32.412725,-97.216759
01927,"Amarillo, TX Urbanized Area",48375,196651,80744,210824553,1121377,35.197528,-101.849137
01981,"American Falls, ID Urban Cluster",16077,4488,1624,3699797,0,42.782372,-112.853156
02008,"Americus, GA Urban Cluster",13261,19106,7655,31468464,139046,32.072568,-84.229191
02035,"Amery, WI Urban Cluster",55095,2832,1412,5343408,1111969,45.30657,-92.364724
02062,"Ames, IA Urbanized Area",19169,60438,24470,59801206,465814,42.031216,-93.633762
02116,"Amite City, LA Urban Cluster",22105,6161,2313,18158237,40581,30.733723,-90.5208
02143,"Amory, MS Urban Cluster",28095,6566,3028,14384769,27224,33.984789,-88.48001
02153,"Amouli, AS Urban Cluster",60010,4515,900,12119253,0,-14.26556,-170.589772
02170,"Amsterdam, NY Urban Cluster",36057,22262,10805,26865160,773995,42.953149,-74.19505
02197,"Anaconda-Deer Lodge County, MT Urban Cluster",30023,6170,3411,6196633,0,46.130922,-112.956918
02224,"Anacortes, WA Urban Cluster",53057,16712,8310,24575119,590029,48.48661,-122.628592
02251,"Anadarko, OK Urban Cluster",40015,5929,2482,6280063,0,35.071385,-98.241229
02278,"Anamosa, IA Urban Cluster",19105,5497,2088,5458867,0,42.110072,-91.276045
02305,"Anchorage, AK Urbanized Area",02020,251243,97417,220119016,2653412,61.167916,-149.847166
02332,"Anchorage Northeast, AK Urban Cluster",02020,28568,10116,42360216,348417,61.362078,-149.556602
02359,"Andalusia, AL Urban Cluster",01039,6655,3187,14926867,32462,31.311564,-86.479556
02386,"Anderson, IN Urbanized Area",18095,88133,40670,171110167,749707,40.088751,-85.679816
02413,"Anderson, SC Urbanized Area",45007,75702,34650,191929850,3276233,34.520711,-82.660933
02440,"Andrews, SC Urban Cluster",45043,3903,1709,7781114,0,33.450931,-79.562021
02467,"Andrews, TX Urban Cluster",48003,12346,4841,16189562,30529,32.320646,-102.546505
02494,"Angels, CA Urban Cluster",06009,3751,1853,6902233,23585,38.074409,-120.551042
02548,"Angola, IN Urban Cluster",18151,11196,5828,23646957,3913803,41.661024,-85.016736
02575,"Anna, IL Urban Cluster",17181,6078,2815,10315625,47210,37.460138,-89.251143
02581,"Anna, TX Urban Cluster",48085,10746,3809,18103768,14418,33.37908,-96.563619
02590,"Annandale, MN Urban Cluster",27171,3262,1460,6952104,0,45.260115,-94.121311
02602,"Ann Arbor, MI Urbanized Area",26161,306022,133978,413298972,13523824,42.240003,-83.662679
02629,"Anniston--Oxford, AL Urbanized Area",01015,79796,36090,224750432,1461279,33.664398,-85.828795
02656,"Antigo, WI Urban Cluster",55067,8158,3916,10801703,84336,45.142639,-89.153197
02683,"Antioch, CA Urbanized Area",06013,277634,93809,209027853,3296203,37.991687,-121.78212
02710,"Apalachicola, FL Urban Cluster",12037,3691,2095,7244106,15809621,29.751831,-84.909118
02764,"Appleton, WI Urbanized Area",55087,216154,92157,268668822,10747316,44.24668,-88.411096
02773,"Apple Valley, OH Urban Cluster",39083,4835,2492,12285980,2046679,40.438206,-82.34901
02791,"Arab, AL Urban Cluster",01095,8012,3635,21701758,301947,34.342074,-86.503725
02825,"Arbuckle, CA Urban Cluster",06011,2652,812,1871310,0,39.016726,-122.060221
02845,"Arcade, NY Urban Cluster",36121,3048,1470,6117049,0,42.534572,-78.466924
02899,"Arcadia, LA Urban Cluster",22013,2894,1188,7054369,0,32.552383,-92.923763
02901,"Arcadia, WI Urban Cluster",55121,2993,1235,5467555,0,44.249691,-91.490931
02912,"Arcadia--Southeast Arcadia, FL Urban Cluster",12027,17490,7356,26183670,15770,27.213341,-81.852437
02926,"Arcata--McKinleyville, CA Urban Cluster",06023,32364,14233,42690333,250755,40.914605,-124.089324
02953,"Archbold, OH Urban Cluster",39051,4760,2046,9801479,37920,41.52504,-84.294163
02965,"Archer Lodge--Clayton, NC Urban Cluster",37101,13288,4707,52270800,474780,35.668818,-78.365612
02980,"Arcola, IL Urban Cluster",17041,2874,1122,3476399,44848,39.684596,-88.302758
03007,"Ardmore, OK Urban Cluster",40019,20888,9566,30245714,76559,34.178548,-97.14166
03034,"Arecibo, PR Urbanized Area",72013,139171,60653,217708135,1543862,18.454601,-66.807974
03088,"Arizona City, AZ Urban Cluster",04021,10531,5068,12138549,198208,32.749832,-111.673175
03115,"Arkadelphia, AR Urban Cluster",05019,10491,4057,14924018,0,34.124479,-93.067849
03142,"Arkansas City, KS Urban Cluster",20035,13026,5906,24895105,143725,37.060526,-97.034648
03158,"Arlington, TN Urban Cluster",47157,11502,3760,20075102,88142,35.280006,-89.662685
03196,"Arroyo Grande--Grover Beach, CA Urbanized Area",06079,52000,25398,59632915,233074,35.118449,-120.60761
03223,"Artesia, NM Urban Cluster",35015,12764,5269,16868337,10805,32.837488,-104.414485
03250,"Arvin, CA Urban Cluster",06029,19573,4542,11204964,0,35.203012,-118.832555
03277,"Ashburn, GA Urban Cluster",13287,4489,1940,8218613,63594,31.700813,-83.650095
03304,"Ashdown, AR Urban Cluster",05081,4146,1895,9400106,0,33.67945,-94.125848
03331,"Asheboro, NC Urban Cluster",37151,37792,16547,85270639,197574,35.731299,-79.804246
03358,"Asheville, NC Urbanized Area",37021,280648,136493,686036520,6252198,35.537101,-82.664164
03365,"Ashland, MO Urban Cluster",29019,3527,1466,4721292,0,38.771524,-92.259132
03375,"Ashland, NE Urban Cluster",31155,2631,1128,3232693,66446,41.041145,-96.364131
03385,"Ashland, OH Urban Cluster",39005,20226,8847,20736510,49269,40.863589,-82.317007
03395,"Ashland, PA Urban Cluster",42107,7820,3446,14644942,0,40.78415,-76.356232
03412,"Ashland, WI Urban Cluster",55003,7293,3452,11167661,5410,46.578646,-90.881298
03439,"Ashland City, TN Urban Cluster",47021,3384,1501,8170373,0,36.27384,-87.067035
03466,"Ashtabula, OH Urban Cluster",39007,29346,14832,56393843,403383,41.877017,-80.78496
03493,"Ashville, OH Urban Cluster",39129,6222,2565,13965053,534661,39.718518,-82.967112
03520,"Aspen, CO Urban Cluster",08097,7710,6459,11838628,0,39.199278,-106.840283
03547,"Astoria, OR Urban Cluster",41007,14115,6907,23579494,1641822,46.183825,-123.860648
03601,"Atchison, KS--MO Urban Cluster",20005,11166,4489,15614152,160893,39.570588,-95.137251
03655,"Athens, AL Urban Cluster",01083,24956,11020,69988371,501547,34.811825,-86.952175
03682,"Athens, OH Urban Cluster",39009,28286,9613,25728993,260343,39.327239,-82.111599
03709,"Athens, TN Urban Cluster",47107,15985,7376,38397480,0,35.448059,-84.600203
03736,"Athens, TX Urban Cluster",48213,12169,4891,23896494,64685,32.201604,-95.847373
03763,"Athens-Clarke County, GA Urbanized Area",13059,128754,55512,254876564,2525300,33.942089,-83.398272
03790,"Athol, MA Urban Cluster",25027,12834,5927,24221424,1053681,42.592843,-72.239703
03817,"Atlanta, GA Urbanized Area",13121,4515419,1861932,6851581056,93257528,33.824102,-84.331858
03844,"Atlanta, TX Urban Cluster",48067,5732,2678,19351984,101572,33.125525,-94.167911
03871,"Atlantic, IA Urban Cluster",19029,6471,3102,7272977,101142,41.398446,-95.006333
03898,"Atlantic City, NJ Urbanized Area",34001,248402,147060,325926586,11772148,39.371191,-74.590455
03925,"Atmore, AL Urban Cluster",01053,6565,3121,12225383,40082,31.021931,-87.487418
03957,"Atoka, TN Urban Cluster",47167,18885,6695,53461703,204592,35.429563,-89.802353
03979,"Attica, IN Urban Cluster",18045,5193,2379,10137000,85101,40.29083,-87.269893
04006,"Attica, NY Urban Cluster",36121,6828,1368,5831427,0,42.873711,-78.271755
04021,"Aubrey, TX Urban Cluster",48121,4139,1559,6098799,2579,33.288094,-96.989684
04033,"Auburn, AL Urbanized Area",01081,74741,34604,129258408,875942,32.614294,-85.443932
04054,"Auburn, IL Urban Cluster",17167,4433,1746,5214352,0,39.590007,-89.749542
04060,"Auburn, IN Urban Cluster",18033,21712,9363,30221649,0,41.369653,-85.07077
04087,"Auburn, NE Urban Cluster",31127,3474,1742,5204597,0,40.38848,-95.843424
04114,"Auburn, NY Urban Cluster",36011,32274,14870,33428845,239530,42.926811,-76.561994
04130,"Auburn--North Auburn, CA Urban Cluster",06061,33157,14516,69199033,261127,38.932512,-121.079665
04168,"Augusta, KS Urban Cluster",20015,9350,3971,10633843,690960,37.69194,-96.973193
04195,"Augusta, ME Urban Cluster",23011,22637,11691,44884332,724961,44.265201,-69.782274
04222,"Augusta-Richmond County, GA--SC Urbanized Area",13245,386787,165167,672428339,6866348,33.487951,-81.996378
04249,"Aumsville, OR Urban Cluster",41047,3692,1282,2979867,0,44.845016,-122.866978
04276,"Aurora, MO Urban Cluster",29109,8365,3725,15212084,39864,36.967117,-93.730413
04303,"Aurora, NE Urban Cluster",31081,4466,1933,5464042,14529,40.867831,-98.003674
04330,"Au Sable, MI Urban Cluster",26069,6384,4799,27106174,628627,44.45283,-83.346783
04357,"Austin, MN Urban Cluster",27099,25103,11089,31664344,254097,43.671232,-92.977883
04384,"Austin, TX Urbanized Area",48453,1362416,566966,1355730320,10907397,30.358514,-97.761533
04411,"Ava, MO Urban Cluster",29067,2857,1424,5412263,1126,36.954458,-92.661589
04438,"Avalon, CA Urban Cluster",06037,3652,2244,3424239,0,33.341575,-118.328742
04465,"Avenal, CA Urban Cluster",06031,15486,2402,7912977,0,35.993168,-120.126356
04519,"Avon, NY Urban Cluster",36051,4973,2274,10085520,0,42.899102,-77.741633
04549,"Avondale--Goodyear, AZ Urbanized Area",04013,197041,73521,227213997,833471,33.472717,-112.399026
04573,"Avra Valley, AZ Urban Cluster",04019,3869,1565,10127104,0,32.42773,-111.326681
04587,"Aztec, NM Urban Cluster",35045,8456,3553,16350155,307858,36.833998,-107.996013
04600,"Bad Axe, MI Urban Cluster",26063,3490,1719,6467525,0,43.802505,-82.997958
04627,"Bainbridge, GA Urban Cluster",13087,12118,5320,26713205,650992,30.90486,-84.564687
04654,"Baker City, OR Urban Cluster",41001,9518,4498,13005431,178981,44.783476,-117.82877
04681,"Bakersfield, CA Urbanized Area",06029,523994,178519,358494016,2308944,35.362282,-119.030559
04708,"Bald Knob, AR Urban Cluster",05145,2517,1151,5965948,0,35.31222,-91.574315
04762,"Baldwin, WI Urban Cluster",55109,5831,2474,9560855,0,44.975947,-92.428301
04789,"Baldwin City, KS Urban Cluster",20045,4428,1624,5321139,4437,38.777506,-95.18748
04816,"Ballinger, TX Urban Cluster",48399,3705,1744,5219154,0,31.742187,-99.9558
04843,"Baltimore, MD Urbanized Area",24005,2203663,939420,1856864888,65405866,39.234099,-76.64776
04870,"Baltimore, OH Urban Cluster",39045,3503,1496,6950422,0,39.843837,-82.587277
04897,"Bamberg, SC Urban Cluster",45009,3492,1526,7237564,0,33.298561,-81.029974
04924,"Bandon, OR Urban Cluster",41011,3119,1858,5707449,7562,43.113779,-124.415518
04951,"Bangor, ME Urbanized Area",23019,61210,27142,109693177,3813324,44.835625,-68.746629
05005,"Baraboo, WI Urban Cluster",55111,13759,6380,16112926,186870,43.46854,-89.748766
05032,"Barbourville, KY Urban Cluster",21121,6300,2867,13086859,158660,36.860165,-83.855348
05059,"Bardstown, KY Urban Cluster",21179,18702,7927,44048018,384158,37.835762,-85.466
05086,"Bar Harbor, ME Urban Cluster",23009,2575,1745,4381189,0,44.392257,-68.221833
05113,"Barnesville, GA Urban Cluster",13171,7167,2769,14029301,102435,33.052313,-84.154709
05140,"Barnesville, OH Urban Cluster",39013,4351,2051,5154243,31354,39.988847,-81.172633
05167,"Barnstable Town, MA Urbanized Area",25001,246695,162112,718703876,58462266,41.687826,-70.21503
05194,"Barnwell, SC Urban Cluster",45011,3949,1849,9372803,40813,33.248668,-81.361338
05221,"Barre--Montpelier, VT Urban Cluster",50023,21675,10676,45888065,525070,44.198429,-72.517883
05248,"Barron, WI Urban Cluster",55005,3292,1469,4961100,49729,45.401884,-91.853281
05275,"Barrow, AK Urban Cluster",02185,3835,1370,2102063,437401,71.29367,-156.764378
05302,"Barstow, CA Urban Cluster",06071,28973,11905,31973823,0,34.888029,-117.03838
05329,"Bartlesville, OK Urban Cluster",40147,38874,18205,63435593,32200,36.745387,-95.956299
05356,"Bartlett, TX Urban Cluster",48491,2653,621,2792859,1094,30.796199,-97.433073
05410,"Basalt--El Jebel, CO Urban Cluster",08037,8531,3464,10379166,72698,39.375173,-107.084447
05423,"Basehor, KS Urban Cluster",20103,3849,1546,6338785,102674,39.127539,-94.941756
05437,"Bastrop, LA Urban Cluster",22067,13979,5959,26102801,105190,32.776783,-91.913851
05464,"Bastrop, TX Urban Cluster",48021,13371,4887,29724654,335053,30.108887,-97.360039
05491,"Batavia, NY Urban Cluster",36037,17834,7955,20720562,211667,43.002665,-78.177406
05518,"Batesburg-Leesville, SC Urban Cluster",45063,5267,2403,14968619,127564,33.908055,-81.510262
05545,"Batesville, AR Urban Cluster",05063,11513,4955,23827440,202777,35.7706,-91.633541
05572,"Batesville, IN Urban Cluster",18137,7734,3222,15590308,118684,39.297625,-85.199479
05599,"Batesville, MS Urban Cluster",28107,7309,3027,21307731,0,34.304023,-89.942156
05653,"Bath, NY Urban Cluster",36101,7124,3428,11099053,244884,42.34625,-77.31417
05680,"Baton Rouge, LA Urbanized Area",22033,594309,246028,950043100,11837274,30.427916,-91.038968
05707,"Battle Creek, MI Urbanized Area",26025,78393,36200,137402013,3529056,42.31374,-85.197926
05734,"Battlement Mesa, CO Urban Cluster",08045,5071,2666,7570982,907,39.464451,-108.021395
05761,"Battle Mountain, NV Urban Cluster",32015,3520,1466,5054537,0,40.638332,-116.9463
05788,"Baxley, GA Urban Cluster",13001,5208,2397,14613424,13203,31.771186,-82.346883
05815,"Baxter Springs, KS Urban Cluster",20021,5089,2383,11515404,0,37.021334,-94.737759
05842,"Bayard, NM Urban Cluster",35017,4309,2022,7014151,28840,32.764809,-108.140107
05869,"Bay City, MI Urbanized Area",26017,70585,32513,104467427,4160572,43.608621,-83.890506
05896,"Bay City, TX Urban Cluster",48321,18745,8277,24227447,25388,28.980702,-95.954928
05904,"Bayfield, CO Urban Cluster",08067,2578,1069,4722576,0,37.241913,-107.59671
05923,"Bay Minette, AL Urban Cluster",01003,7486,2854,14865523,139486,30.883529,-87.775532
05958,"Bealeton, VA Urban Cluster",51061,6621,2328,9545702,26766,38.567378,-77.786511
05977,"Beardstown, IL Urban Cluster",17017,6530,2554,7476460,212332,40.013699,-90.42372
06004,"Beatrice, NE Urban Cluster",31067,12405,5943,17384244,170156,40.267398,-96.743305
06031,"Beaufort--Port Royal, SC Urban Cluster",45013,48807,19864,118150175,13541440,32.423368,-80.716463
06058,"Beaumont, TX Urbanized Area",48245,147922,63365,237471172,2860936,30.11918,-94.127119
06076,"Beaver, UT Urban Cluster",49001,2882,1169,5330422,0,38.278832,-112.636073
06085,"Beaver Dam, KY Urban Cluster",21183,6321,2699,10818675,38214,37.398446,-86.874001
06112,"Beaver Dam, WI Urban Cluster",55027,17833,8063,20427952,71655,43.465787,-88.83322
06128,"Becker, MN Urban Cluster",27141,3898,1413,5079750,4722,45.40383,-93.874419
06139,"Beckley, WV Urbanized Area",54081,64022,29519,157976327,706538,37.912314,-81.161445
06166,"Bedford, IN Urban Cluster",18093,14977,7333,30403328,2314,38.856653,-86.501238
06186,"Bedford, NY Urban Cluster",36119,2679,930,10154556,141660,41.175921,-73.651332
06193,"Bedford, PA Urban Cluster",42009,4693,2445,8532506,207475,40.024894,-78.505088
06220,"Bedford, VA Urban Cluster",51515,6829,3192,17353523,29339,37.338355,-79.525928
06247,"Beebe, AR Urban Cluster",05145,6714,2872,11384552,0,35.069159,-91.89306
06261,"Beecher, IL Urban Cluster",17197,4148,1597,5219772,0,41.351042,-87.620473
06274,"Beeville, TX Urban Cluster",48025,18168,6295,31495912,0,28.389755,-97.732662
06301,"Belding, MI Urban Cluster",26067,5789,2456,12339146,468185,43.096485,-85.233029
06335,"Belfair, WA Urban Cluster",53045,3331,1578,7735850,1964,47.448543,-122.857433
06355,"Belfast, ME Urban Cluster",23027,3358,1998,6847383,417657,44.423628,-69.005594
06382,"Belgrade, MT Urban Cluster",30031,13797,5565,26879916,116430,45.7825,-111.185972
06436,"Bellefontaine, OH Urban Cluster",39091,13235,6093,14000649,0,40.359127,-83.752855
06463,"Bellefonte, PA Urban Cluster",42027,12888,5825,24772630,0,40.912938,-77.680091
06490,"Belle Fourche, SD Urban Cluster",46019,5240,2367,6866523,0,44.66496,-103.850211
06517,"Belle Glade, FL Urban Cluster",12099,24870,7729,21609906,27832,26.684083,-80.678914
06571,"Belle Plaine, MN Urban Cluster",27139,6174,2321,6703279,0,44.620096,-93.764619
06598,"Bellevue, IA Urban Cluster",19097,2543,1286,4205774,0,42.264832,-90.431624
06625,"Bellevue, OH Urban Cluster",39143,8413,3751,13750728,301671,41.277074,-82.84458
06652,"Bellingham, WA Urbanized Area",53073,114473,50696,124367250,9137066,48.77284,-122.476127
06679,"Bellows Falls, VT--NH Urban Cluster",50025,5713,2699,10143225,452211,43.123515,-72.446683
06692,"Bells, TN Urban Cluster",47033,4758,2051,10455177,16845,35.727149,-89.086559
06706,"Bellville, TX Urban Cluster",48015,4002,1776,5923109,25123,29.946233,-96.260553
06733,"Beloit, KS Urban Cluster",20123,3295,1645,4660471,0,39.461195,-98.105971
06760,"Beloit, WI--IL Urbanized Area",55105,63835,26314,88931630,2354014,42.509483,-89.026108
06770,"Belterra, TX Urban Cluster",48209,3731,1222,9094835,0,30.186319,-98.001924
06779,"Belton, SC Urban Cluster",45007,5443,2646,13907139,39539,34.528131,-82.498225
06787,"Belvidere, NJ--PA Urban Cluster",34041,3881,1863,5798798,47173,40.825338,-75.071549
06814,"Belzoni, MS Urban Cluster",28053,4702,1771,5960797,0,33.181941,-90.490257
06841,"Bemidji, MN Urban Cluster",27007,14626,6213,28970238,44386,47.480112,-94.883524
06868,"Bend, OR Urbanized Area",41017,83794,38921,102824264,560560,44.049108,-121.31202
06895,"Bennettsville, SC Urban Cluster",45069,13006,4758,21713692,1278568,34.628218,-79.685958
06922,"Bennington, VT Urban Cluster",50003,12723,5457,19778212,264701,42.892667,-73.202052
06949,"Benson, AZ Urban Cluster",04003,4036,2328,6505395,4137,31.961786,-110.294175
06976,"Benson, MN Urban Cluster",27151,3191,1582,4509415,706,45.316565,-95.602636
07003,"Benson, NC Urban Cluster",37101,3107,1520,6566790,11841,35.383812,-78.546691
07030,"Benton, IL Urban Cluster",17055,7778,3757,11027094,34232,37.999962,-88.918322
07057,"Benton, KY Urban Cluster",21157,4447,2090,11911744,36051,36.851835,-88.359536
07084,"Benton, LA Urban Cluster",22015,5371,2118,11703915,791124,32.657068,-93.712465
07111,"Benton City, WA Urban Cluster",53005,4140,1569,6291789,66111,46.277732,-119.487393
07138,"Benton Harbor--St. Joseph--Fair Plain, MI Urbanized Area",26021,61022,28006,120910288,2557183,42.068719,-86.470022
07165,"Berea, KY Urban Cluster",21151,15590,6347,34296208,146925,37.583562,-84.293019
07192,"Berlin, NH Urban Cluster",33007,11159,5570,14117729,519209,44.4618,-71.173026
07219,"Berlin, WI Urban Cluster",55047,4891,2230,6024648,14520,43.971548,-88.945505
07246,"Berne, IN Urban Cluster",18001,5490,2494,11777622,411956,40.60586,-84.943937
07273,"Berrien Springs, MI Urban Cluster",26021,7358,2687,12852203,524338,41.950895,-86.340788
07300,"Berryville, AR Urban Cluster",05015,4800,1984,10331036,0,36.370598,-93.565725
07327,"Berryville, VA Urban Cluster",51043,4277,1839,5127392,1608,39.153421,-77.980386
07354,"Bethany, MO Urban Cluster",29081,2652,1332,3968749,1084,40.265875,-94.035182
07381,"Bethel, AK Urban Cluster",02050,4434,1743,6205286,149353,60.79492,-161.782459
07408,"Bethel, OH Urban Cluster",39025,3239,1395,4204131,4856,38.964135,-84.083101
07462,"Beulah, ND Urban Cluster",38057,2949,1442,3541608,533,47.265005,-101.781567
07489,"Bicknell, IN Urban Cluster",18083,3217,1656,4385586,0,38.776776,-87.305074
07508,"Big Bear City, CA Urban Cluster",06071,15873,20707,41856445,496940,34.246421,-116.879711
07543,"Big Lake, TX Urban Cluster",48383,2919,1081,2756021,0,31.19452,-101.459125
07597,"Big Pine Key, FL Urban Cluster",12087,7540,5958,19738088,3771218,24.68838,-81.397107
07624,"Big Rapids, MI Urban Cluster",26107,14241,5117,24109578,170777,43.686859,-85.473293
07651,"Big Spring, TX Urban Cluster",48227,27987,9922,38167194,67731,32.244366,-101.470756
07678,"Big Stone Gap, VA Urban Cluster",51195,8240,3390,16470251,245864,36.8729,-82.760598
07705,"Billings, MT Urbanized Area",30111,114773,50475,137090773,632040,45.79132,-108.53184
07732,"Binghamton, NY--PA Urbanized Area",36007,158084,71772,192017395,8981471,42.105366,-75.962775
07759,"Birch Bay, WA Urban Cluster",53073,12737,7626,32443287,130156,48.955394,-122.756978
07786,"Birmingham, AL Urbanized Area",01073,749495,337693,1372257744,10320279,33.469107,-86.791974
07813,"Bisbee, AZ Urban Cluster",04003,5541,3253,8124710,744,31.441355,-109.913168
07824,"Biscoe, NC Urban Cluster",37123,2821,1071,9205709,0,35.371737,-79.784131
07840,"Bishop, CA Urban Cluster",06027,9935,4619,11017745,52076,37.365976,-118.415939
07867,"Bishop, TX Urban Cluster",48355,3116,1256,3728911,0,27.584786,-97.795577
07894,"Bishopville, SC Urban Cluster",45061,5391,1712,5967255,0,34.218215,-80.247396
07921,"Bismarck, ND Urbanized Area",38015,81955,37317,99723531,2411332,46.819848,-100.801005
