ZCTA5,Urban Area GEOID,Population,Housing Units,Land Area,Water Area
76248,22042,34647,12251,37376460,102171
76262,22042,25861,10136,42633510,177458
30705,22069,11838,4754,43558669,56779
30710,22069,2523,936,9025605,0
30720,22069,23211,9782,38997704,82014
30721,22069,39202,14019,86191255,6464
30740,22069,3815,1493,16356893,0
30755,22069,4588,1914,14986082,52737
30756,22069,62,29,215408,0
44618,22079,2378,1044,5080941,150967
44667,22079,217,75,611845,0
06470,22096,8701,3349,38972328,550105
06482,22096,3945,1568,14721634,22741
06755,22096,0,0,5062,0
06776,22096,21359,8974,64826914,856142
06777,22096,124,76,410759,0
06784,22096,751,421,3335795,0
06801,22096,17255,6816,31103654,198
06804,22096,15705,6305,46510326,0
06810,22096,47555,18309,32928661,225151
06811,22096,30665,11701,47068323,4585137
06812,22096,12807,5171,32922795,2740800
06877,22096,1276,397,5920512,24398
06896,22096,1180,439,5666325,0
10509,22096,3143,1243,8291908,36162
12563,22096,3670,994,8310179,894712
37725,22110,4959,2093,22736661,0
14437,22177,5141,2389,8508520,0
61817,22204,2030,880,1995033,8602
61832,22204,36309,17024,50443309,1912976
61833,22204,2124,1018,3813048,29096
61834,22204,2949,441,10496925,0
61846,22204,3656,1613,4257831,0
61858,22204,302,144,1091640,70144
61883,22204,3626,1698,5103027,0
40422,22231,17360,7676,35179445,163744
40440,22231,1230,531,2317928,5196
40484,22231,297,130,1018976,3034
24527,22253,700,307,3019589,74822
24540,22253,25777,12729,61401967,549569
24541,22253,22578,11939,42809801,558156
24586,22253,98,45,230523,0
27311,22253,191,94,518715,0
36526,22285,25148,11475,54371828,303059
36527,22285,10352,4567,29806670,173960
36532,22285,18531,9155,39018832,54918
36551,22285,3119,1144,18955248,70132
36559,22285,233,124,932490,0
43123,22301,1485,644,4753084,170452
43126,22301,326,150,1193664,28924
43146,22301,4384,308,10309278,191274
31305,22312,3682,1845,8007084,127436
52722,22366,34261,14871,51868398,3291860
52748,22366,5293,2162,7640035,0
52753,22366,3509,1527,5773842,0
52767,22366,349,151,1725980,1229415
52768,22366,408,186,531190,0
52801,22366,1122,728,939343,420565
52802,22366,10594,4409,15526189,1151164
52803,22366,22174,10305,13273300,794735
52804,22366,25686,10737,23808301,43336
52806,22366,26457,11322,27987453,0
52807,22366,13048,6267,18694445,0
61201,22366,39098,17453,44036634,3857958
61239,22366,1185,494,3641825,52161
61240,22366,4242,1773,10217522,376022
61241,22366,5410,2208,9838629,529614
61244,22366,23352,10001,34645906,3758561
61256,22366,1769,746,2862720,237316
61264,22366,7109,3360,23462690,1750327
61265,22366,45099,20647,48799461,3603117
61275,22366,1732,784,3427448,0
61278,22366,345,154,657017,0
61282,22366,7809,3674,8648236,0
68632,22393,2879,1265,3371017,4954
95616,22420,46005,17572,21253475,61834
95618,22420,26789,10042,15275254,20240
95776,22420,0,0,33010,0
73030,22427,2591,1216,4144108,6201
61020,22435,2570,855,5569888,0
61043,22435,61,31,74705,0
61052,22435,0,0,18291,0
39842,22447,4466,1871,5673294,0
89403,22501,11127,4569,16203131,3839
45005,22528,816,324,3241014,0
45036,22528,932,316,3368506,784
45054,22528,138,66,454999,0
45066,22528,21824,7820,31197084,31232
45068,22528,4747,1925,18557707,15912
45301,22528,130,60,239222,0
45305,22528,9069,3661,10918912,19449
45309,22528,6558,3013,13198324,0
45315,22528,3459,1364,12642055,0
45322,22528,20116,8707,18058646,35248
45323,22528,4742,2144,5489049,0
45324,22528,39237,17821,38655029,8373
45341,22528,3491,1657,7328653,93343
45342,22528,34295,15447,54011839,333559
45344,22528,10351,4115,14900438,82987
45354,22528,573,264,666333,0
45371,22528,12351,5241,17493790,15529
45373,22528,30071,13200,39125645,877318
45377,22528,13843,6440,26585637,0
45383,22528,4599,2082,5637542,0
45385,22528,27870,12301,35076786,94261
45402,22528,11420,6720,10877473,309058
45403,22528,15006,7699,10709278,162207
45404,22528,10833,5263,15858039,281568
45405,22528,18948,11797,10140894,231258
45406,22528,21914,12411,12954203,19234
45409,22528,12868,3488,8969564,102569
45410,22528,15339,8287,5774095,0
45414,22528,20230,9343,43859996,676109
45415,22528,12631,5794,15978639,178213
45416,22528,5740,2548,4807681,0
45417,22528,29350,15148,46029785,401482
45418,22528,1287,418,1293193,0
45419,22528,15159,7141,9976186,0
45420,22528,25438,13132,16031129,68080
45424,22528,48190,19854,50308781,33547
45426,22528,14639,7675,30552242,36571
45428,22528,240,0,1526916,0
45429,22528,25885,12956,25737056,33229
45430,22528,7402,3072,13016308,10428
45431,22528,26315,12286,29670315,18738
45432,22528,15288,6874,19472390,22439
45433,22528,1975,508,8970570,0
45434,22528,12140,4582,22803887,268821
45439,22528,10000,4824,15985841,466832
45440,22528,20551,9667,21180828,48101
45449,22528,18161,8914,15948100,7366
45458,22528,29754,13066,47798846,63722
45459,22528,27744,13437,36407475,156655
45502,22528,432,205,738542,35146
37321,22555,8807,3565,21413662,601114
37338,22555,1367,583,2108750,0
77535,22582,12075,3286,27859212,206249
99328,22609,2681,1275,3721274,0
35601,22690,34431,14650,69490201,1443717
35603,22690,20048,9087,32043949,2222072
35640,22690,13484,5770,30800212,151474
35673,22690,2473,961,18630543,49569
62521,22717,32719,15474,64112876,7585406
62522,22717,15791,7032,19553513,39456
62523,22717,1237,404,1241689,0
62526,22717,33424,16128,48792807,287885
62532,22717,64,29,192194,0
62535,22717,3532,1368,7694713,0
62537,22717,89,36,152643,0
62549,22717,6116,2442,10330863,6545
62551,22717,16,19,161868,0
62554,22717,875,372,1092988,0
46733,22744,10440,4838,17743672,52005
76234,22771,5910,2391,13076491,0
52101,22798,8637,3318,13403485,47090
59722,22825,3217,1593,3807797,0
99006,22852,3463,1436,4988439,0
77303,22864,116,37,244031,0
77306,22864,3598,1009,6400823,20270
77328,22864,83,28,365192,0
43512,22879,18306,8117,35070981,1280545
32433,22933,3532,1679,10282558,545590
32435,22933,2280,1244,7346745,145496
60112,22960,4324,1567,3029516,0
60115,22960,45069,17235,40598352,453970
60178,22960,19152,7970,23159505,236465
93215,22987,54372,11008,25684847,0
55328,22995,5255,1994,7684902,0
53114,23041,1552,591,2704745,0
53115,23041,10606,5179,17217873,568029
53121,23041,0,0,132684,0
71232,23095,2770,1143,4506344,0
13753,23102,2953,732,3545394,42647
57022,23122,3584,1476,3767406,0
46923,23149,3008,1348,4239339,38981
45833,23176,7440,3262,10820856,34836
78840,23203,43602,15531,44641240,188609
78843,23203,312,0,5626270,1487
81416,23230,7849,3384,14715468,106432
43515,23257,3158,1310,4444526,1933
84624,23284,3258,1210,4966387,0
32130,23311,2710,1051,5312244,0
32713,23311,17329,7926,22244653,455712
32720,23311,24102,10873,44084118,90824
32724,23311,28946,13324,50464869,1219591
32725,23311,44097,18553,49901511,1541899
32738,23311,42530,16093,43529754,5746957
32744,23311,1781,871,3937584,156923
32763,23311,20038,9930,28192315,304857
32764,23311,636,424,2161688,188210
88030,23338,14903,6224,21486485,0
36732,23365,6388,2905,12989729,112164
36742,23365,64,24,124318,0
46310,23392,4652,1934,9233480,591
51442,23419,8240,2940,11170044,15184
29042,23446,3781,1600,7027466,0
21629,23473,4771,1922,11783102,123582
75019,23500,38659,14343,36380781,760187
75022,23500,21497,6744,38478807,165771
75028,23500,42226,14476,39228785,184965
75057,23500,12818,5191,16564170,534101
75063,23500,0,0,1472200,0
75065,23500,10563,4043,15338710,2204744
75067,23500,60982,25790,32915704,260025
75077,23500,35200,13162,34703037,2339022
76051,23500,0,0,268523,0
76201,23500,27107,11562,14454499,81985
76205,23500,18510,7793,21911088,149534
76207,23500,6726,2837,10766850,80268
76208,23500,18498,7048,42855720,138602
76209,23500,24018,9999,16948105,0
76210,23500,39365,14002,35663290,279611
76226,23500,10005,3290,18070986,124230
76207,23513,1746,1020,3077724,0
76226,23513,1561,549,7432679,48330
80002,23527,18020,8365,15936766,307236
80003,23527,35384,14248,17648602,675853
80004,23527,35892,15158,19090026,397431
80005,23527,25478,10310,21960611,287809
80007,23527,6817,2475,10038759,525445
80010,23527,39728,14334,14283218,31534
80011,23527,47421,17514,40636044,178620
80012,23527,46665,19634,20111206,0
80013,23527,69342,25961,29333271,0
80014,23527,36710,18960,18282409,0
80015,23527,62432,21996,37030524,606996
80016,23527,40879,15481,65047042,3138094
80017,23527,34270,13688,15050008,22279
80018,23527,7930,2746,8770239,0
80019,23527,1637,704,3876567,815
80020,23527,46780,17970,38214894,553310
80021,23527,29438,12839,31031232,5429211
80022,23527,41249,13766,38866622,581351
80023,23527,12446,4710,20065399,422962
80024,23527,228,85,105884,0
80027,23527,0,0,122939,0
80030,23527,15329,6381,6829156,196752
80031,23527,33932,13594,21830198,137783
80033,23527,23969,11817,21452446,680211
80045,23527,277,173,1735675,2686
80104,23527,24896,9495,32892864,0
80108,23527,20997,7916,35105389,0
80109,23527,15467,5087,22052739,0
80110,23527,20867,9483,16389519,423880
80111,23527,28948,12511,27896244,9909
80112,23527,29214,12733,43733348,334727
80113,23527,20562,10295,19584824,156124
80120,23527,28435,13503,21504485,942869
80121,23527,17853,7307,19397155,53342
80122,23527,29783,12412,18278675,48291
80123,23527,44795,19351,30758067,4209261
80124,23527,17743,7147,17444824,0
80125,23527,27,19,1932219,28818
80126,23527,39623,14198,25184499,12345
80127,23527,41364,15760,35176606,669240
80128,23527,34988,14134,25544731,997283
80129,23527,26901,9994,18382702,100998
80130,23527,27054,9959,12148558,8344
80134,23527,51888,19309,58153546,156750
80135,23527,12,2,383378,0
80138,23527,20872,7472,19406070,49376
80202,23527,10148,8399,2900297,0
80203,23527,18839,14896,2779201,0
80204,23527,31493,13116,14407225,0
80205,23527,29221,13656,11874937,119984
80206,23527,21521,13536,6361669,0
80207,23527,21216,8907,11824012,0
80209,23527,21526,13530,9019641,54418
80210,23527,33946,16398,15707215,51146
80211,23527,31583,15615,11644553,97000
80212,23527,18051,9441,9249003,1093090
80214,23527,24821,11831,11920975,40722
80215,23527,17843,8568,14412678,257327
80216,23527,10924,3385,25244786,218028
80218,23527,17928,12227,4145058,0
80219,23527,61296,20448,19441922,193656
80220,23527,33529,16421,13575575,0
80221,23527,37779,13536,23461757,666030
80222,23527,20073,10256,10282638,0
80223,23527,17987,7139,13544714,108937
80224,23527,17256,8570,8146834,0
80226,23527,30930,13656,20865700,166240
80227,23527,33667,15217,19163868,322709
80228,23527,29709,13625,16133682,89124
80229,23527,49598,18023,34087313,970226
80230,23527,7559,3825,6446419,0
80231,23527,32127,17134,12212325,0
80232,23527,21411,9168,10697719,633368
80233,23527,45380,17640,23487855,319277
80234,23527,25937,11104,18359744,264953
80235,23527,7571,3610,9428336,193115
80236,23527,16123,6142,8321007,0
80237,23527,17569,10074,9260004,17849
80238,23527,10058,3898,10777681,0
80239,23527,40512,11206,21689371,31835
80241,23527,31746,11638,17101607,648240
80246,23527,12875,7840,4469838,8809
80247,23527,25449,14986,7617388,1067
80249,23527,23404,7765,15160171,0
80260,23527,31412,12518,12417747,295152
80264,23527,0,0,19282,0
80290,23527,0,0,19489,0
80293,23527,0,0,15517,0
80294,23527,0,0,15459,0
80401,23527,32694,13903,42900489,1386742
80403,23527,13282,5514,21748871,442110
80419,23527,0,0,256676,0
80465,23527,10325,3952,11574683,357955
80601,23527,32866,11265,41055255,799112
80602,23527,26315,8731,35060347,378195
80603,23527,3226,1156,8146895,84296
80640,23527,10936,3519,32807236,2416315
79323,23554,4938,1803,6702728,0
71832,23608,6209,2115,10867307,35635
70633,23635,4096,1846,12010206,0
70660,23635,921,0,465759,0
70634,23662,12100,5303,39125694,239084
70659,23662,1117,444,3126406,9665
71446,23662,124,53,458822,1654
71638,23689,2816,1140,5064934,0
92240,23716,33776,14028,31043606,0
92241,23716,5057,3982,10238651,248358
92258,23716,612,237,1441472,0
50009,23743,14624,5728,21812922,0
50021,23743,21126,8825,29228738,0
50023,23743,27324,10589,35038599,0
50032,23743,329,158,412327,0
50035,23743,3622,1328,7919599,0
50111,23743,8837,3466,19740149,74751
50131,23743,16467,6357,26993362,46556
50211,23743,7742,3025,7478864,0
50226,23743,483,157,1384922,0
50263,23743,14406,5701,14030451,32098
50265,23743,31159,13936,26489967,0
50266,23743,23285,11269,30009415,50783
50309,23743,5431,3667,7348586,427887
50310,23743,30221,13915,20861437,126034
50311,23743,15113,6364,6511832,0
50312,23743,15224,7878,11450875,0
50313,23743,17165,7067,29615015,393128
50314,23743,12465,4985,6439448,190273
50315,23743,35853,15242,25951327,609004
50316,23743,16440,6439,9215176,87305
50317,23743,35791,14853,48165129,702531
50319,23743,0,0,213707,0
50320,23743,19038,7416,26417447,1174484
50321,23743,7834,3439,29132407,40767
50322,23743,31530,13800,27877246,61021
50323,23743,9707,3434,14631380,0
50324,23743,4903,2319,3740280,0
50325,23743,15394,6056,17361764,310838
50327,23743,8557,3482,14057790,10007
66018,23770,4455,1678,9654060,133424
66019,23770,246,120,110999,0
63020,23797,7203,3257,10501930,332964
48001,23824,10066,5058,18847119,134278
48005,23824,0,0,1055995,1461
48009,23824,20107,9981,13084514,31709
48015,23824,8257,3920,4424023,0
48017,23824,11805,5754,5683647,0
48021,23824,32353,13753,13253190,5331
48023,23824,3515,1626,8196580,67893
48025,23824,14543,5947,20795336,40066
48026,23824,14480,6448,10725535,40959
48030,23824,16422,7611,7297399,0
48033,23824,16064,8576,23215673,14814
48034,23824,12590,8222,11188519,0
48035,23824,34788,15399,22772757,100522
48036,23824,20980,9942,21551261,564901
48038,23824,41057,19960,28395064,40058
48042,23824,26424,9133,39071448,40745
48043,23824,16305,7575,10615453,340371
48044,23824,52289,18070,34968458,194242
48045,23824,24604,12610,37810309,1347577
48047,23824,39296,16269,41648684,472936
48048,23824,5971,2231,8213449,9304
48051,23824,16771,5976,27657946,118613
48064,23824,792,324,1004044,0
48065,23824,7084,2918,13304721,59505
48066,23824,47388,21303,25516402,74007
48067,23824,24458,13014,11888903,2761
48069,23824,2526,1153,1396492,0
48070,23824,6238,2429,3847786,9241
48071,23824,29694,13685,18374593,0
48072,23824,14970,6932,6220197,0
48073,23824,32798,17231,19104791,0
48075,23824,21790,10162,19155677,0
48076,23824,25386,10730,18438102,0
48080,23824,22494,11424,11325638,52865
48081,23824,20635,9463,10178038,1211
48082,23824,16549,7568,8542622,57975
48083,23824,22507,9682,22379873,0
48084,23824,14231,7017,16008059,0
48085,23824,24660,8768,24113159,403419
48088,23824,22255,9569,11490620,0
48089,23824,31978,13485,20623879,4901
48091,23824,31106,13354,20698268,0
48092,23824,25680,10820,21213730,94029
48093,23824,23037,10710,14641248,99514
48094,23824,17219,6714,26637361,159276
48095,23824,3427,1319,9076908,125073
48096,23824,126,53,605412,3244
48098,23824,19582,7440,24324089,30981
48101,23824,28200,12202,18182907,122205
48111,23824,285,122,6371831,181249
48114,23824,751,292,7316398,659928
48117,23824,3226,1383,6755425,194684
48120,23824,8274,2914,8253572,149422
48122,23824,10727,4924,7055271,98887
48124,23824,31732,14667,22934067,115622
48125,23824,21273,9141,10489268,956
48126,23824,47465,15840,25386287,240192
48127,23824,36501,14927,19924557,22246
48128,23824,10682,4450,6123655,134025
48134,23824,21327,8370,45252328,1160454
48135,23824,27665,11596,15198077,0
48138,23824,10371,4465,22486255,1068144
48141,23824,25366,11645,16194528,1610
48146,23824,38098,16502,15202542,1439
48150,23824,27127,11403,31043463,406031
48152,23824,31173,13527,31368242,33600
48154,23824,38642,15471,30085171,7419
48164,23824,5753,2219,28062435,35119
48165,23824,4612,1824,10584969,0
48166,23824,3738,1462,8364261,74586
48167,23824,18787,8898,20859593,371665
48168,23824,20382,7953,27575435,598919
48170,23824,38118,17209,48090922,241316
48173,23824,12059,5009,20686432,862693
48174,23824,30499,12661,88929582,571712
48178,23824,2097,756,8261021,320647
48179,23824,1658,722,4894058,304609
48180,23824,63131,26422,61116827,95634
48183,23824,43182,18812,48121667,1500333
48184,23824,17643,7846,18208616,3148
48185,23824,47618,23922,31512594,23686
48186,23824,36506,15301,21391213,15889
48187,23824,48875,19095,44259288,32123
48188,23824,40067,15234,42725110,44071
48192,23824,25883,12081,13529197,19096
48193,23824,15623,6775,18194681,207291
48195,23824,30047,13933,17672628,12035
48198,23824,0,0,9352,0
48201,23824,12814,9470,5193540,0
48202,23824,16603,10329,8616314,0
48203,23824,28409,15544,20756114,18585
48204,23824,27997,15517,12980500,0
48205,23824,44045,18780,16531627,0
48206,23824,21954,13142,8095663,0
48207,23824,20241,12877,12663809,0
48208,23824,10234,5642,8190764,0
48209,23824,32262,12298,17501605,347150
48210,23824,31017,12306,13057914,0
48211,23824,7082,3201,10848548,0
48212,23824,39038,15301,13854094,26408
48213,23824,27712,13115,16923386,0
48214,23824,22759,13560,13014076,0
48215,23824,13565,7177,10395926,0
48216,23824,5645,2928,5747286,0
48217,23824,8210,3977,5921036,126346
48218,23824,7903,3731,6872362,287672
48219,23824,46931,22525,21773613,5168
48220,23824,22319,11588,11479188,0
48221,23824,38727,17406,14119737,2042
48223,23824,25336,12513,15679754,0
48224,23824,44439,19244,14852847,0
48225,23824,14554,6669,6854875,0
48226,23824,5302,4506,3197600,0
48227,23824,45380,21358,19504196,0
48228,23824,52130,24168,22299441,0
48229,23824,9556,4570,7303781,4867
48230,23824,16976,7443,8360759,0
48233,23824,0,0,48551,0
48234,23824,36140,16255,20288109,0
48235,23824,45063,20150,16189821,0
48236,23824,30607,13059,19463663,14224
48237,23824,29319,12782,13341572,0
48238,23824,31743,17499,13974835,0
48239,23824,35524,15225,25193320,93427
48240,23824,17722,7574,9695508,0
48242,23824,0,0,18054952,341236
48243,23824,0,0,42722,0
48301,23824,14127,5885,19082075,563499
48302,23824,15360,6770,28779375,3009391
48304,23824,16009,7018,29280740,240747
48306,23824,25991,9424,45084061,5610
48307,23824,41369,18704,39752809,131153
48309,23824,29135,11386,40034011,41084
48310,23824,42766,15512,21908557,69654
48312,23824,32720,14046,29136295,196890
48313,23824,33952,14193,23503570,406887
48314,23824,20245,8423,19963757,86817
48315,23824,26563,10429,33027304,425300
48316,23824,25404,10331,28760526,608711
48317,23824,26610,12010,31361812,1328385
48320,23824,4589,2260,2832858,794949
48322,23824,31265,12819,30447134,172677
48323,23824,17708,6863,22625294,3528983
48324,23824,17350,6708,22267787,9211406
48326,23824,20298,10093,44779600,1578102
48327,23824,21559,9896,29357542,1254703
48328,23824,24960,11807,23415085,6661279
48329,23824,25009,10331,26456696,5606231
48331,23824,21503,8792,24056347,30025
48334,23824,18540,8552,23280642,33221
48335,23824,22398,11309,19519357,9310
48336,23824,25486,11683,23545178,0
48340,23824,24307,10981,19451041,223003
48341,23824,17139,7857,16553506,622686
48342,23824,18407,8407,14852162,135050
48346,23824,21851,9325,37808658,2134290
48348,23824,18544,6827,45042270,1856601
48350,23824,2972,1198,7814362,1263785
48353,23824,4597,1859,14512747,1330262
48356,23824,7555,3062,14875496,2986358
48357,23824,5815,2334,13032511,156775
48359,23824,8044,3291,27891596,772580
48360,23824,11200,4245,24949207,1748833
48362,23824,15141,6177,25688754,3921695
48363,23824,2586,1004,8842001,0
48370,23824,137,57,1054292,143360
48371,23824,19868,7635,40278374,3533260
48374,23824,14049,4704,23521854,295905
48375,23824,21801,9422,22224685,79905
48377,23824,15244,8161,24977248,2201392
48380,23824,2705,988,15289098,433057
48381,23824,9796,4346,18069103,303475
48382,23824,21638,7969,34536575,4905944
48383,23824,10992,4139,22667237,2349346
48386,23824,17101,7290,26342559,5243004
48390,23824,22763,10408,31251595,2524821
48393,23824,16000,7597,30992563,549750
48397,23824,0,0,462102,0
48442,23824,535,256,1440402,0
48462,23824,53,29,148935,145168
48843,23824,4063,1391,6628666,18768
48855,23824,553,181,1636635,0
56501,23851,7973,4287,14943764,12375976
58301,23878,7444,3586,8418653,14837
78016,23905,4481,1750,9500087,34445
78059,23905,1317,504,1811456,1131
72042,23959,3185,1494,5676712,0
52742,23986,4639,2016,5490647,0
63841,24013,9053,4192,15101939,31365
39525,24040,7855,4069,13880582,139060
75941,24067,4461,1421,7789898,104749
58601,24094,17586,7761,19570088,28980
37029,24121,1496,622,6458541,13008
37055,24121,14520,6382,38103333,140613
78017,24148,3938,1137,5150893,0
59725,24175,4609,2147,5852368,0
29536,24202,9777,4160,18560884,46676
79027,24229,4373,1656,5159885,105987
94505,24256,13246,5385,10119803,1273394
94513,24256,17,5,73032,0
94514,24256,781,262,2010178,0
95620,24283,18445,6209,16113159,6654
61021,24310,16858,6792,25525626,938053
55927,24329,2641,1048,3988715,0
67801,24337,27316,9290,27889363,272373
53533,24364,4756,2123,7905999,0
70086,24391,130,39,6154000,1242389
70341,24391,2727,1077,7627281,0
70346,24391,9183,3497,14985567,160133
70390,24391,1289,505,3484062,0
70391,24391,116,59,554291,0
70393,24391,368,145,668404,0
70723,24391,758,313,3198853,0
39845,24418,2654,1184,7241726,32978
39859,24418,91,38,362177,87131
49323,24433,3519,1165,9142929,27483
49335,24433,252,91,1409748,0
49348,24433,931,344,3658620,0
93620,24445,6282,2097,5118527,0
93665,24445,431,131,387057,0
36301,24472,26996,12120,51316033,149694
36303,24472,25289,11398,55246423,23761
36305,24472,13052,5655,29124598,115476
36312,24472,67,31,87501,0
36321,24472,375,146,984483,2567
36350,24472,2736,1206,6221450,17184
36371,24472,266,125,766197,0
85607,24499,16689,6095,13036002,0
85626,24499,984,355,1662121,0
31533,24526,13016,5549,28579410,518643
31535,24526,1138,457,2489381,23999
49406,24539,772,703,2448303,0
49408,24539,444,291,1234824,5364
49453,24539,1354,1108,3637675,124770
82633,24553,6175,2803,8339244,23518
19901,24580,31925,12912,48651514,1513663
19902,24580,283,0,942108,0
19904,24580,29022,11813,44932657,404242
19934,24580,8370,3397,16482968,9003
19936,24580,302,124,572563,0
19938,24580,2762,1009,2441561,0
19943,24580,5857,2415,16013764,151644
19946,24580,2536,995,2664038,0
19962,24580,9941,3722,31493528,13246
19977,24580,19298,6576,26305156,185727
19979,24580,473,181,1235123,0
03820,24607,29607,13543,63469825,3392784
03823,24607,116,47,1047997,0
03824,24607,12029,2000,14933648,162597
03825,24607,159,67,1573066,0
03839,24607,2530,1113,6400019,0
03851,24607,1528,838,3220897,481200
03861,24607,24,12,84706,0
03867,24607,16472,7657,25296517,222509
03868,24607,4841,2143,11803558,0
03869,24607,1506,666,2517925,171981
03878,24607,11450,5052,22285944,334488
03901,24607,2515,1073,5161835,73479
03903,24607,636,281,3494765,156572
03908,24607,4349,1822,9704863,518121
04027,24607,325,152,1044085,12399
49047,24634,6082,2772,9032424,88865
61705,24646,1478,513,3535513,2268
61736,24646,1188,435,2081756,0
13053,24688,3290,1389,7585250,36980
13068,24688,592,232,2653807,12597
31021,24715,18621,8163,51473038,370962
31027,24715,2378,1049,6650845,172873
76446,24769,3543,1508,5680903,0
15801,24796,10878,5117,16046082,135611
15840,24796,1020,480,1555980,4118
52001,24823,42063,18227,40114352,575129
52002,24823,12410,5061,16183371,0
52003,24823,10226,4330,21945037,69666
52068,24823,68,42,251112,0
61025,24823,3051,1364,9022068,222161
54874,24850,142,60,500521,0
54880,24850,26903,12239,36758671,8308386
55802,24850,2442,1623,6636041,9011899
55803,24850,8734,3641,14140844,22511
55804,24850,10481,4533,12211933,0
55805,24850,10194,5378,3655279,0
55806,24850,9576,4808,8688079,1627355
55807,24850,9963,4609,14885164,3067975
55808,24850,5480,2540,9636317,575923
55810,24850,5094,2312,19742929,0
55811,24850,19673,8128,51010467,470
55812,24850,10924,3666,4550597,0
55814,24850,772,0,117937,0
71639,24877,5023,2254,7486437,0
71662,24877,0,0,425778,0
79029,24904,14836,5410,14666215,0
73533,24931,21301,9979,30435534,154753
48131,24958,3799,1684,6428798,90764
47336,24985,2284,1121,2826957,0
47373,24985,1280,600,2523734,0
14048,25012,13723,6721,20954291,34715
14063,25012,11791,4418,15356535,0
37327,25025,3691,1571,11348382,0
28334,25039,10486,4941,19501817,36812
28339,25039,4337,1915,9541777,0
62832,25093,6467,3105,11645222,183007
48429,25120,4279,1961,7782679,14006
48476,25120,575,231,637765,0
81301,25147,17571,8212,22305123,84916
81303,25147,411,157,1868455,0
39063,25174,2525,1112,3806316,0
74701,25201,14770,6619,23821222,24227
74730,25201,1632,710,2429733,12659
27278,25228,12937,5461,30931724,312387
27510,25228,14644,7571,9684318,14035
27514,25228,30402,10896,27759137,288452
27516,25228,25072,9501,31632219,174446
27517,25228,17654,8818,32901659,235912
27560,25228,2581,1650,3256369,79996
27701,25228,21288,10501,13667543,1025
27703,25228,39071,15891,66117209,609997
27704,25228,32011,13419,49901092,458483
27705,25228,42837,18915,55064811,376834
27707,25228,44803,20855,49799142,205122
27709,25228,1047,407,1011976,8545
27712,25228,17417,7143,46254901,647364
27713,25228,45838,21549,52729643,527227
60420,25255,5353,1860,8758850,0
38330,25282,2264,989,4497563,0
38369,25282,984,494,2164715,0
38024,25309,18410,8278,33086711,263973
38059,25309,3493,1473,9417261,0
52040,25336,3620,1665,6699470,0
52078,25336,0,0,6281,0
85925,25363,4163,1696,11014393,4131
85938,25363,1932,921,5094880,7066
81631,25390,6073,2253,6360405,43642
50533,25417,3076,1379,3574241,0
77434,25444,3628,1508,5503889,11322
84005,25480,6277,1564,4943098,0
78852,25498,49236,15814,51649313,642196
93219,25579,8729,2085,7311477,0
93256,25579,4391,1170,5685331,0
93619,25579,91,22,37550,0
14052,25598,9627,4149,21580064,61411
14059,25598,214,74,643606,0
76448,25660,3711,1690,4237237,0
15052,25687,642,270,3009424,183602
15059,25687,2806,1528,5593911,65415
15077,25687,0,0,549672,271996
26034,25687,3280,1650,4211665,1371224
26050,25687,1358,647,2351971,695680
43920,25687,19744,9203,43638684,469806
43968,25687,3734,1850,3568665,0
31023,25714,6053,2689,14614106,135191
21601,25741,17103,8000,24732623,208685
21673,25741,29,13,126613,0
44413,25768,4944,2224,8441640,0
63845,25795,3770,1675,5251722,0
17317,25802,755,272,587515,0
17366,25802,357,150,1414433,0
17368,25802,1262,501,3576767,0
17406,25802,201,87,678663,0
95971,25813,2674,1287,5782941,0
07832,25849,249,99,1219212,888
18301,25849,25463,9527,51930817,631654
18302,25849,5114,2240,15769979,190687
18321,25849,1642,703,5982300,38896
18327,25849,690,363,1965309,164730
18332,25849,641,315,2296779,69664
18335,25849,437,210,958565,0
18355,25849,24,16,667209,0
18356,25849,4,146,634220,0
18360,25849,17612,7262,44543750,164628
18372,25849,2440,955,8970882,0
48730,25876,2397,1479,4070112,0
48763,25876,1975,1152,4087474,0
53120,25903,4306,1814,6312021,0
80615,25930,4392,1717,3895626,0
45320,25957,8112,3763,10133294,19264
48827,25984,5408,2458,10332974,310140
31024,26011,3889,1753,8601083,0
98328,26024,2801,1117,4075185,12409
54701,26038,33205,13796,35045104,746227
54703,26038,38138,16508,64389556,6592523
54720,26038,7037,3413,11811746,1196380
54727,26038,79,33,382537,10218
54729,26038,24393,10780,67077473,3792928
15931,26065,4379,2133,6600174,93310
15948,26065,535,228,759429,0
27048,26092,116,47,294037,0
27288,26092,17071,8523,46047312,395964
27932,26119,4790,2389,7936084,175550
29824,26146,4562,1137,7021233,47295
29847,26146,0,0,49936,0
53534,26173,7208,3369,13353093,485616
87015,26200,3506,1465,13975528,0
16412,26227,5546,2716,6562545,158803
16444,26227,1717,0,679444,33641
77957,26254,5374,2452,8724327,0
81620,26275,8175,4499,8564777,175537
81632,26275,9151,3974,13448739,228657
62401,26308,12164,5621,19001761,75128
62467,26308,1636,617,3172794,0
99702,26345,2305,737,11995096,447167
99705,26345,639,282,2263038,2128
30635,26362,5925,2925,13551362,42632
77437,26389,11719,4498,16203722,19546
92231,26416,38531,10620,17908619,0
92243,26416,45757,15345,37774584,45516
92249,26416,7219,1971,4302477,0
92251,26416,16165,5226,17702548,0
65026,26443,4555,2229,6893333,0
71730,26470,18944,8830,39270145,0
