ZCTA5,Urban Area GEOID,Population,Housing Units,Land Area,Water Area
18244,01495,221,92,322865,0
18353,01495,1194,614,4082381,199824
18360,01495,0,0,6088,0
18935,01495,116,58,186331,919
18951,01495,26178,10229,45508761,201372
18955,01495,1361,513,1447102,0
18960,01495,209,98,597004,154
18970,01495,696,286,1055021,0
19504,01495,26,12,27804,0
19530,01495,140,49,324309,0
19539,01495,1215,494,6859238,7133
19562,01495,2576,1187,2118623,2469
69301,01522,8486,4073,12053033,31691
44601,01549,26796,11865,36472713,207747
44609,01549,858,414,1895488,17974
44640,01549,97,44,196937,297
44672,01549,4782,2463,7291672,50785
31510,01603,3408,1427,7309455,363325
48801,01630,9345,3777,12089694,194027
48880,01630,7579,1700,7163402,212918
48003,01657,2719,1131,3793261,1570
49707,01684,14258,7137,24506343,1830290
79830,01711,6013,3081,10819773,335
24517,01738,3544,1701,10191053,99431
24563,01738,1084,520,4097295,24651
24571,01738,35,13,122980,0
62002,01765,29888,14252,43447479,734654
62010,01765,9781,4342,12289732,168788
62012,01765,87,36,257106,0
62018,01765,3604,1469,7059527,58176
62024,01765,9775,4581,15239990,169295
62025,01765,146,52,514841,4455
62035,01765,13299,5659,28985059,211200
62048,01765,1419,672,5339676,66671
62067,01765,1037,465,1901636,3356
62084,01765,1545,692,10328499,394150
62087,01765,2060,865,2886698,48964
62095,01765,11170,5125,13342692,146742
63386,01765,79,27,357031,16777
16601,01792,28863,12890,28360628,17718
16602,01792,29230,13379,28913068,61739
16617,01792,2632,1180,2832109,0
16635,01792,7209,3229,14271960,0
16648,01792,11521,4883,21670209,82943
16665,01792,265,119,253673,0
16686,01792,210,80,547159,6278
96101,01819,2910,1416,4934771,16517
73521,01846,19900,8973,31472094,521227
73717,01873,5620,2616,6804483,0
76009,01900,4133,1630,7341757,19935
79101,01927,2817,1559,4145842,0
79102,01927,9963,4462,6893784,0
79103,01927,10385,3756,8207876,0
79104,01927,7649,2705,5699362,97105
79106,01927,27934,12838,21627868,19836
79107,01927,33700,11829,33464605,178535
79108,01927,13063,3187,25515331,19287
79109,01927,43516,20968,27055809,151017
79110,01927,18811,7453,14486450,165314
79111,01927,0,0,12466975,4664
79118,01927,8397,2949,19630035,140492
79119,01927,8825,3857,14002942,779388
79121,01927,6575,3073,4793539,0
79124,01927,5016,2108,12256511,14537
83211,01981,4488,1624,3737205,0
31709,02008,12332,5270,18870957,65602
31719,02008,6774,2385,12572749,73057
54001,02035,2832,1412,5340906,1111063
50010,02062,27875,12998,37403982,154241
50011,02062,1390,1,125094,0
50012,02062,4062,29,1972687,9935
50014,02062,26173,11112,18594221,0
50105,02062,938,330,2069340,0
70422,02116,5096,1875,14011878,40580
70456,02116,1065,438,4155977,0
38821,02143,6566,3028,14384021,27224
12010,02170,19739,9703,19900490,768433
12068,02170,217,95,573494,1770
12070,02170,359,167,1263531,0
12086,02170,1338,588,3567450,9875
12095,02170,142,38,447684,0
12177,02170,467,214,1113796,3643
59711,02197,6170,3411,6225272,0
98221,02224,16712,8310,24570264,589306
73005,02251,5929,2482,6283077,0
52205,02278,5497,2088,5464974,0
