Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
06220,51019,735,347,2255741,4042
06247,05145,6714,2872,11383991,0
06261,17197,4148,1597,5228447,0
06274,48025,18168,6295,31504612,0
06301,26067,5789,2456,12339185,468184
06335,53045,3331,1578,7745077,2058
06355,23027,3358,1998,6855477,417657
06382,30031,13797,5565,27003461,116430
06436,39091,13235,6093,14033504,0
06463,42027,12888,5825,24810471,0
06490,46019,5240,2367,6845671,0
06517,12099,24870,7729,21487586,27832
06571,27139,6174,2321,6733078,0
06598,19097,2543,1286,4191170,0
06625,39077,3743,1707,5029616,242744
06625,39143,4670,2044,8723089,58927
06652,53073,114473,50696,124634344,9111493
06679,33005,1457,736,3558290,371108
06679,33019,92,34,328415,0
06679,50025,4164,1929,6262514,69394
06692,47033,4758,2051,10509974,16845
06706,48015,4002,1776,5923109,25130
06733,20123,3295,1645,4664415,0
06760,17201,18712,7582,31223455,784028
06760,55105,45123,18732,57741137,1569497
06770,48209,3731,1222,9078519,0
06779,45007,5443,2646,13888537,45090
06787,34041,3819,1834,5772024,46328
06787,42095,62,29,46392,8279
06814,28053,4702,1771,5960796,0
06841,27007,14626,6213,29129514,44386
06868,41017,83794,38921,102853427,562028
06895,45069,13006,4758,21712861,1278568
06922,50003,12723,5457,19782120,264708
06949,04003,4036,2328,6485715,4142
06976,27151,3191,1582,4513657,706
07003,37101,3107,1520,6592557,11841
07030,17055,7778,3757,11054616,34233
07057,21157,4447,2090,11920769,37345
07084,22015,5371,2118,11685854,791123
07111,53005,4140,1569,6285152,66332
07138,26021,61022,28006,120880351,2570973
07165,21151,15439,6290,33690805,147829
07165,21203,151,57,488660,1575
07192,33007,11159,5570,14137564,519206
07219,55047,4891,2230,6026714,14520
07246,18001,5490,2494,11776744,411755
07273,26021,7358,2687,12849742,524303
07300,05015,4800,1984,10343169,0
07327,51043,4277,1839,5108962,1608
07354,29081,2652,1332,3968741,1084
07381,02050,4434,1743,6273366,149315
07408,39025,3239,1395,4206226,4851
07462,38057,2949,1442,3579611,543
07489,18083,3217,1656,4385594,0
07508,06071,15873,20707,41825537,552533
07543,48383,2919,1081,2756015,0
07597,12087,7540,5958,19738116,3771218
07624,26107,14241,5117,24130980,170780
07651,48227,27987,9922,38138699,67744
07678,51105,112,60,317750,0
07678,51195,8128,3330,15790481,243088
07705,30111,114773,50475,137178563,486418
