Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
29440,37085,6356,2799,17177607,59094
29440,37093,26692,10317,65823443,382361
29440,37155,505,215,1494897,0
29467,47103,9178,4337,25155384,0
29494,05007,147000,61187,293834120,4755326
29494,05143,148081,64069,191745239,1634143
29494,29119,2,1,647850,8688
29510,37037,2642,1601,6023354,27088
29521,24011,3165,1387,4969785,52160
29521,24019,25,9,123387,0
29548,12061,5294,1443,4847014,0
29575,27111,12081,5882,15862696,1323126
29602,12089,25239,15126,62469810,81686
29656,32019,18283,7535,25525133,0
29656,32031,696,294,1232212,0
29683,22029,5931,2024,11659128,0
29698,16083,2639,1050,2931135,1682
29710,06111,15081,4429,6965789,1776
29737,39063,48441,22272,61892637,311419
29764,06019,7281,2012,3791356,0
29775,08123,21474,7509,26430601,189947
29791,13017,11638,5167,22772899,539769
29818,04005,71957,28672,90199563,14636
29845,21069,2795,1441,5195476,11829
29872,26049,351608,162953,597698189,17319130
29872,26093,3752,1503,10039994,1371447
29872,26125,858,477,3247257,53523
29899,17025,4872,2269,5834478,0
29953,01033,30066,14254,66916624,476294
29953,01077,47008,22786,94030810,1561759
29980,04021,16586,3330,7490754,1075
30007,08043,7314,1907,10075182,0
30034,41039,10177,6354,18781172,57886
30061,45031,13883,6326,33274018,173336
30061,45041,75674,32809,150748592,1183184
30088,48493,6068,2142,9700003,18837
30115,72013,36191,15386,65479332,38558
30115,72017,22166,9419,29216898,10259
30115,72054,10409,4248,16894129,6138
30115,72091,2981,1203,7056477,4107
30142,48153,3009,1375,4296966,0
30171,01003,26469,19264,78409009,3348606
30196,13049,5961,1769,12456502,166069
30223,55039,54569,24117,73896079,829615
30223,55139,332,192,825406,1647
30250,05039,3844,1768,10805277,0
30277,28123,4887,1806,9342392,0
30304,19081,285,177,1603918,0
30304,19189,3681,1632,5230385,0
30331,37161,26418,12344,90889482,174308
30358,27025,6110,2221,18795533,1194385
30358,27163,15706,6520,27497773,11299454
30385,06097,5144,2546,11224866,71206
30412,53009,3940,1528,6292617,0
30439,48257,27051,8907,48345692,75354
30466,05123,13690,4210,15084014,29094
30493,13207,4834,1882,10625076,41821
30520,29213,6836,3461,14830773,21828
30547,55055,21105,9095,29009286,845858
30574,06045,10348,4725,20221075,498316
30601,18051,4379,1958,4793595,47682
30628,08069,251386,105417,268639465,14036119
30628,08123,13079,5106,15385075,687449
30655,04001,3181,1114,6266084,0
30655,35031,421,104,1197416,0
30682,19187,25122,11147,33106638,138465
30736,06071,8845,2487,7978142,0
30748,29169,29257,8091,67162938,127884
30755,08123,9055,3099,13799317,0
30763,17067,54,24,188250,23694
30763,19111,10794,4808,10655563,5192
30790,12105,6234,2670,14536422,487231
30817,08087,13178,5001,12790946,0
30844,01049,7018,2827,11203941,13274
30858,36057,5730,2669,9765011,364172
30871,22115,14300,4570,33440909,34475
30898,20011,7895,3719,10837271,12152
30925,05033,29759,11984,50673993,934532
30925,05131,90955,40055,127315382,1613134
30925,40079,2105,955,4989945,0
30925,40135,128,69,312337,10862
30952,48371,9339,3491,15364450,0
30979,06023,13084,5485,22510806,124
31033,13225,10605,3869,12537852,32622
31060,12091,126512,69641,175676365,18130377
31060,12113,55939,25369,112835597,7545386
31060,12131,9466,13999,23601229,694265
31087,18003,313117,136653,444476842,1086437
31087,18183,375,122,1338807,0
31114,39063,2921,1483,3889453,189597
31114,39147,10240,4467,10978624,6063
31114,39173,1533,815,2260206,15902
31150,12069,11114,6072,29552876,3346122
31150,12095,1491,1081,6951635,1191015
31150,12097,3156,3659,10564568,0
31150,12105,19788,15116,40309566,1734284
31158,30031,2527,1046,7945637,111001
31168,26093,3794,1674,9573501,109110
31195,26145,4972,2397,7118139,6536
31222,18023,16684,6666,20074644,0
31249,21005,14,5,72312,0
31249,21073,35705,17363,55781973,992669
31249,21239,15,4,15522,0
31276,21213,9442,4155,13939899,23087
31303,22101,14617,5925,27200039,420986
31330,33001,1626,695,5184248,59663
31330,33013,7956,3597,11351969,222357
31384,37113,6781,3709,23678591,604178
31411,42121,9581,4529,16105093,226256
31438,51093,528,242,1713472,1539
31438,51175,378,159,1226362,0
31438,51620,8303,3769,14826716,90340
31450,34037,35436,15949,84384845,3289474
31465,22117,3506,1540,7414943,7995
31478,08049,2583,3796,5791308,0
31492,06029,3657,1806,6542179,4999
31519,24021,141576,56122,190090706,1299911
31546,40141,3899,1956,5771780,0
31573,48171,11511,5772,19592394,16104
31600,51177,82829,29856,122243896,802767
31600,51179,34406,12725,56058574,1136485
31600,51630,24003,10369,23221760,145018
31627,29123,4217,2038,6048896,8668
31681,17177,25980,12578,36027605,178675
31735,26123,4496,2184,8160467,46808
31762,31053,27471,11897,28232107,1088899
31789,39143,23332,10532,31834049,761676
31843,06019,654628,229285,443623468,565416
31843,06039,0,0,278,0
31870,48369,4106,1428,3512243,0
31897,48065,297,130,973994,0
31897,48233,3578,1779,7377730,0
31897,48341,93,44,360666,0
31924,51061,4,1,9162,0
31924,51187,18634,7727,44637310,505322
31978,12105,7626,3330,19872815,4988273
32032,21075,2423,1308,4954103,45756
32032,47131,1916,966,2345022,0
32059,28057,3217,1197,8745358,0
32086,29027,12197,4336,17033480,141366
32113,01015,31,15,139527,1239
32113,01055,64141,29936,186437216,7244386
32140,45021,20844,9205,48030432,144009
32167,12001,187781,85930,225430522,3841294
32194,13117,3426,1531,11206166,311723
32194,13135,44,21,1099922,0
32194,13139,127086,47425,314039479,7546678
32194,13157,290,86,691666,0
32221,48097,15746,6459,21332265,12431
32248,51035,820,405,2500626,1403
32248,51077,19,9,199554,0
32248,51640,6076,2830,12693853,37947
32275,17085,3165,1814,4754419,0
32302,20021,2643,1229,4001248,12078
32302,29097,30,14,79485,0
32329,17095,36001,15930,55887043,169677
32356,39033,15943,7667,23291871,79699
32356,39117,3,1,10153,0
32356,39139,20,10,185708,0
32383,22057,21437,8617,41806838,713489
32437,35031,23114,8503,31465051,0
32451,06067,24912,8095,20606846,0
32491,48167,44022,26559,30383459,2935265
32518,20055,29942,10793,33320310,67931
32572,32005,20107,8897,31751841,49379
32599,19081,3115,1373,4175660,0
32626,20003,3336,1556,5121757,41595
32637,39133,6150,2459,17164105,53204
32653,37045,11171,4900,25637374,29486
32653,37071,158079,68125,332315246,2057606
32653,37109,83,31,417198,6425
32653,45091,162,59,686583,0
32707,48099,15310,3074,16535605,17659
32720,28059,3957,1631,7940768,51721
32734,26137,8298,4320,26431124,2262276
32761,17073,6531,3021,7898227,20814
32788,36051,8329,2198,10466483,0
32815,01061,2654,1246,6023433,50261
32842,36069,14899,6342,16158512,10614
32842,36099,14574,6714,21855123,213314
32842,36123,517,407,1728662,0
32850,39007,7660,3395,11627001,10311
32869,17037,6413,2371,7052055,29279
32896,39123,3118,1342,7026981,0
32950,10005,9034,2337,12504640,0
32977,21209,30764,12615,42346034,739310
33004,39015,3829,1688,6309312,0
33031,45043,12320,5581,26462813,1246311
33166,17053,3615,1658,5118260,14730
33193,48287,5030,1843,7494045,11268
33220,17117,5377,2454,7807615,358
33247,56005,32721,13590,64320442,78289
33274,17075,3010,1220,7423826,41170
33301,48459,4978,2188,9568471,30890
33328,06085,98413,31353,117688246,3754
33355,20037,2547,1165,3862038,24639
33409,26051,2934,1423,7033127,32107
33436,21009,13569,6492,24954955,50551
33463,30105,3301,1688,10583018,0
33490,27085,5534,2372,7095706,13126
33517,30021,6494,2943,11495678,55798
33544,13267,3161,1534,7704457,37534
33598,36091,10584,4497,17863381,98834
33598,36113,39868,18646,71779229,2002918
33598,36115,14991,6497,17974098,81598
33612,54021,3415,680,4331480,48156
33625,19129,6088,2391,11062547,24962
33635,24027,3721,1206,14419476,58611
33652,08045,11581,4810,12746319,65478
33679,04007,13515,6441,19902926,634
33695,51073,4177,1555,11351423,20473
33706,39009,2643,1263,4807799,41591
33733,36035,27353,12655,35898768,43538
33733,36057,1873,849,6000825,290069
33749,41015,2787,1671,5482394,491738
33760,24037,4452,1590,11831612,67506
33787,53039,3329,1594,4863968,0
33798,12021,3953,1393,18879721,164102
33814,37191,61054,27061,137046994,416810
33841,06053,8174,1985,4068346,8237
33868,48177,6877,2645,9574011,0
33895,16047,3726,1588,3545355,19909
33922,20181,4553,2408,6997608,0
33938,26049,2840,1034,8446298,1214230
33938,26125,3020,1263,8543241,458631
34003,31047,3515,1632,4787026,117691
34030,36089,4146,1916,5742770,122632
34057,36009,1972,846,2122984,2848
34057,36029,4351,868,9077253,39649
34072,12063,4037,900,7108409,0
34084,38099,4219,1956,4761717,0
34111,54091,5923,2654,10315432,397037
34138,48503,9041,3938,12510101,63360
34151,22093,12470,4695,30382076,5191684
34151,22095,2809,1132,6896804,592908
34165,48221,28250,14241,75321839,7904426
34192,01097,4127,1599,13624434,9945
34219,27119,8318,3524,10283487,0
34219,38035,52952,23508,53025996,175580
34229,38035,2697,989,5313326,0
34246,31079,50036,19925,71648866,515261
34246,31121,404,166,1206560,0
34273,08077,128124,54388,204086143,2214614
34300,26081,493736,205625,598916958,13049266
34300,26139,76199,26587,127765316,1819812
34327,27061,9285,4293,20859062,976052
34354,48467,3236,1280,6849022,36484
34381,53005,6944,2490,13973257,268399
34381,53077,11463,3306,14597945,0
34397,53077,3048,756,2270781,37092
34408,48339,5756,1882,13726642,0
34435,16049,3150,1531,3895079,5665
34462,27023,840,465,2607702,34641
34462,27173,2002,922,2561294,34797
34470,53061,6129,2517,12266841,364026
34478,48053,5573,2916,13514291,854028
34489,35006,12152,4528,21045638,0
34516,41029,4998,2571,9817163,35780
34516,41033,45522,20686,60618686,706846
34543,49045,6673,2214,9770263,0
34554,13077,2571,984,7179713,45587
34570,36115,2751,1241,5130061,474
34570,50021,11,7,33856,0
34597,06057,34308,16599,72529005,62759
34613,13169,4566,1701,9893923,118495
34624,26039,3858,1775,10701701,333981
34651,21043,5716,2371,13864764,196502
34678,25003,4571,2301,13357053,502406
34705,20009,16177,7199,17222332,206531
34759,30013,65207,29435,80586072,1753393
34786,08123,117825,45555,106792744,433064
34813,55009,206388,88087,271710616,6967829
34813,55083,132,59,254306,0
34826,05045,4069,1565,13244940,23194
34840,18133,10625,3844,11800023,132764
34894,47059,23957,10983,68058948,0
34921,06053,16451,3783,7105100,202
34975,25011,22965,10890,36536672,871148
35002,39071,5100,2339,4283523,0
35029,05015,2656,1060,4639443,0
35083,56037,12672,5065,12210633,360957
35137,13133,2759,1167,5810335,110898
35164,37081,311810,140442,479692010,10951200
35191,18031,11560,5210,15942604,26464
35218,18067,3219,1408,5935331,255078
35272,01013,6026,2768,10503875,0
35299,17005,6976,2323,8847894,0
35326,26117,9743,4271,15970829,313847
35353,28151,35025,14821,57877877,109095
35380,37147,117798,53845,168861167,1254428
35407,39037,13337,6574,13141252,111583
35434,42085,10771,4661,18534611,0
35461,45007,31575,13483,111377916,685266
35461,45045,277740,124558,489383776,3655052
35461,45077,76551,31765,185177275,1353516
35461,45083,14626,5992,43493119,1217754
35488,48231,23283,9813,31336673,41739
35515,36115,2551,1190,4532584,35372
35542,05131,8619,3440,16397438,379664
35569,28083,22380,9101,36852716,331365
35596,45001,134,41,518446,0
35596,45047,41969,18569,90225456,648767
35623,28043,10481,4890,23356490,42194
35677,06007,8393,3043,11668719,0
35690,37107,923,393,3393667,0
35690,37147,2765,1195,11482643,0
35704,19157,9080,3796,10385468,106334
35716,18103,6359,1596,11280422,0
35731,48293,3948,1319,4826963,37566
35758,51015,795,315,1843474,6901
35758,51165,3280,1397,5496999,11023
35785,40041,7158,4032,22045642,2817971
35812,42019,922,354,2133218,8410
35812,42085,10964,3722,20880690,31307
35839,06083,7080,1887,2741586,11821
35866,72015,18749,8476,24368490,36460
35866,72057,41223,17419,48075946,6273083
35866,72095,46,22,60208,0
35866,72109,14345,6941,27055988,81432
35866,72123,5792,2755,5932315,1710167
35893,06097,4805,3597,11817615,529671
35920,28045,17378,9195,44432713,2149635
35920,28047,144361,67648,270210350,20708377
35920,28059,47209,20475,111472244,8779020
35974,48213,12674,7393,30994850,318676
35974,48257,2210,955,6622013,1679
35987,26005,75,55,102963,0
35987,26015,2585,1788,7280844,868157
36001,08051,6343,2974,8349300,0
36028,49039,4157,901,6083356,0
36055,06047,5521,2083,3011695,0
36082,40083,8191,3711,13768104,0
36109,40139,11338,4233,12512672,0
36136,08037,5963,2017,9066273,115081
36190,24043,101406,42342,142446965,281089
36190,42055,9503,4028,21732652,0
36190,54003,71225,30535,178697460,224215
36190,54037,562,195,2447786,0
36217,16013,10453,4536,15090297,18808
36231,15003,13770,5308,14575290,199739
36244,01093,223,98,1429713,12891
36244,01133,3699,1852,9286067,519
36271,06081,20713,7987,19238300,11394
36298,47097,2735,1241,5514640,0
36325,48203,3658,1381,6504118,0
36352,05003,2724,1156,7201499,0
36396,01093,3207,1511,10797993,37327
36406,30081,6182,3352,10896499,9471
36433,36053,4427,1119,4774164,24144
36460,48193,3034,1432,5894767,0
36514,22063,2863,1042,7643381,0
36514,22105,64766,26670,190836326,756312
36541,34001,13078,5075,22951809,330521
36541,34007,74,20,177770,0
36568,17089,4619,1705,5717451,0
36585,37141,10716,4926,39822596,404115
36622,19069,4246,1848,5198247,0
36649,45049,4540,2085,14559608,0
36676,01043,2948,1417,6002210,11305
36703,06031,87941,30114,71854752,0
36730,29127,18076,8095,25331872,45318
36730,29173,396,172,2009217,0
36784,42001,31255,11992,53949745,678566
36784,42133,35046,15112,39538688,8437
36798,45053,2957,1081,7548802,862
36811,30003,3614,1440,3393141,0
36823,34037,2550,1131,4734943,17887
36838,19165,4934,2337,5439292,0
36865,21095,7065,3279,12796021,555607
36878,13073,2705,1135,8988721,9555
36892,48061,135055,49320,213251006,2433941
36892,48215,608,156,1068819,0
36919,40109,3904,1617,13910348,0
36946,47145,23515,11139,74281200,2881220
36973,10001,4448,1911,7561652,0
37000,17165,9463,4404,15970793,141962
37054,41043,3637,1351,3816202,0
37081,42041,165909,72204,231069766,3658373
37081,42043,221773,100612,306472615,18025962
37081,42075,19171,8343,27482190,0
37081,42099,2630,1199,4658457,11629
37081,42133,34991,14286,102892024,217326
37091,46083,3071,1152,3715599,0
37108,05009,13950,6487,29005242,47712
37135,26035,3589,2362,8326074,720412
37145,18029,291,175,506739,0
37145,39061,12619,5323,22658685,211664
37162,51165,17870,7073,39188746,133987
37162,51660,48914,17444,45112613,149955
37189,29037,9358,3840,14418989,80097
37216,21167,8715,4149,13583713,28621
37232,26127,2556,1046,5134300,181251
37243,09003,764982,323389,1009340370,15753051
37243,09005,20018,8540,52973435,762882
37243,09007,67884,30031,117337928,4678389
37243,09013,71975,26578,157417857,2275579
37324,18009,6160,3063,11242335,71980
37378,40121,2539,1196,4876050,0
37405,45031,15125,6931,32452320,431497
37432,13147,5884,2748,15040424,190858
37459,17111,9940,3515,11388024,0
37486,48207,3090,1319,5024371,0
37513,26015,7713,3454,12144305,784539
37540,27037,22106,9242,23275881,951411
37540,27163,222,76,873818,262453
37567,31001,24312,10583,22482030,410826
37594,28035,52727,23134,98337377,256168
37594,28073,27631,12559,80366577,3472843
37621,12039,2771,1240,5617998,0
37648,17125,3302,1538,5828129,0
37675,37049,21596,7194,34825625,617541
37702,30041,9657,4452,10962711,0
37716,15001,20503,8062,83608315,0
37729,13235,3999,1906,8334258,110994
37756,32021,3249,1863,3107940,0
37783,20051,21180,9598,26435139,0
37810,29155,3489,1583,4223472,0
37823,55113,2616,1373,7162391,601548
37837,21193,7444,3434,17831180,636768
37864,01089,3207,1196,9801991,5883
37891,13161,4594,2004,10432644,159142
37918,28029,4868,1882,10778745,116967
37945,42025,1854,914,3337253,0
37945,42079,51511,22959,74957121,77531
37945,42107,3462,1752,2596562,0
37959,01067,2119,975,4233843,0
37959,01069,1121,440,1783142,0
37972,48395,4346,1807,6623485,8646
37999,40079,3760,1333,6796387,0
38026,48247,4378,1897,4341248,0
38053,49051,17212,6165,33264117,0
38080,05023,6357,3034,12265956,0
38134,18127,3535,1455,3501431,0
38161,30049,45055,20245,73049577,284739
38172,05107,11321,5163,15923893,0
38215,06065,163379,65638,127156829,1848027
38242,48473,5600,2126,9706576,2782
38269,37181,20858,9227,47328615,111296
38296,47023,5954,2114,11914826,22914
38296,47113,73,34,262586,0
38323,48401,15187,4634,22973643,142220
38350,48077,2731,1260,3407231,10475
38404,40111,6562,3089,12172169,0
38431,48117,15941,5665,16572253,0
38445,18133,2737,1256,6451670,1215445
38485,41059,27790,10250,39754766,42819
38566,20079,3306,1284,4906909,0
38580,17113,3016,1128,4360423,0
38593,20013,3145,1582,5055977,0
38620,27137,11616,6004,13771957,28709
38647,37003,4738,2109,19774232,2637543
38647,37023,52136,22870,181532109,519695
38647,37027,54444,24103,176150384,2249285
38647,37035,100877,44323,300112414,4237268
38674,39039,3613,1586,5543119,0
38713,06033,4647,2171,9326259,362975
38728,29107,4621,2177,4961256,13009
38755,17119,11525,4856,27268314,287192
38794,48029,2855,879,7672158,2918
38809,37057,37063,16466,77446410,20328
38809,37067,1160,510,3469499,0
38809,37081,106978,47710,152598949,4210111
38809,37151,21284,9038,59137829,410383
38823,12001,3022,1374,6159946,0
38863,17135,7261,2496,10087366,126554
38890,20115,2815,1111,2964892,6729
38903,29099,2674,925,5672308,0
38917,39071,6668,3196,10971545,0
38944,48217,8328,3363,16959134,74834
38971,33011,3884,1801,8026475,176860
38998,26059,11646,4893,19482586,710631
39025,06047,4852,1714,5125810,0
39052,15001,43925,17091,63522148,182714
39079,45013,68998,47033,175137093,7770964
39133,13179,48757,19822,73201023,860857
39133,13183,2699,1135,7457344,0
39160,54081,15,10,11469,0
39160,54089,2620,1546,3983766,220319
39187,40075,3622,1856,4481230,0
39214,35025,36696,14254,52936632,114236
39241,21123,3413,1464,4953112,15453
39268,47101,3625,1641,9664497,0
39295,20009,2709,1365,2834930,0
39322,04017,3800,1530,6220352,0
39349,37019,3136,3422,10065957,44856
39376,40063,5768,2191,8456897,45169
39403,31137,5340,2529,5983356,36417
39416,17119,2804,1102,3511770,1206918
39430,26005,9558,4309,20163331,81808
39430,26139,90383,35369,133279731,8536468
39457,28151,2612,1044,3395032,0
39511,06069,42002,12938,29640123,0
39524,35035,3054,1006,4000648,0
39538,26125,8229,3533,13335770,1076327
39565,28093,6160,2086,11308044,0
39592,20085,3245,1607,3797957,13233
39619,06025,6876,2254,5706692,11902
39646,16027,114,55,552934,111573
39646,16073,2617,952,2329632,98543
39673,22027,3034,1519,8117659,53330
39700,13065,2690,1203,5356705,0
39712,48251,6372,2031,20407527,3343
39727,40113,3493,1134,3519472,0
39758,12017,79279,42686,229663729,6723385
39758,12083,1683,1142,4629878,87066
39781,48325,6427,2431,7038371,545
39808,45001,68,42,237703,0
39808,45007,3437,1731,7547123,4882
39821,36051,2325,937,5153354,11881
39821,36055,2816,1286,6568920,88312
39821,36069,129,56,216407,1837
39835,42127,5849,3008,10980822,502079
39862,15001,2667,972,4066412,0
39916,41027,10687,4870,18600463,948849
39916,53039,3966,1805,8451565,839076
39943,48037,2977,1368,11999793,12521
39970,17183,5116,2418,5509644,0
39997,36083,3592,1654,4207206,0
40024,05057,9991,4231,19214529,121903
40078,21047,32491,14749,52155874,209097
40105,55027,3493,1561,3897845,50214
40132,36101,10997,5206,13628486,0
40186,21009,1919,976,3561808,9500
40186,21099,2332,1095,5172765,36396
40189,48053,1390,626,3257364,2584
40189,48299,1744,1855,4842859,159215
40213,05051,55103,29791,116262049,10611125
40213,05059,18,20,88804,0
40240,46047,3550,1833,5463339,0
40267,05051,5485,3688,22988926,1164594
40267,05125,3659,2199,14005558,2828939
40294,26061,15452,6182,21906983,1925698
40321,26143,8300,8602,23060144,854256
40348,23003,4128,1946,4693498,0
40375,22007,4734,1949,10465452,0
40375,22057,51356,20514,82375132,636162
40375,22109,88785,34643,143968635,600345
40402,28017,2557,1109,6863431,35131
40429,48039,152106,55577,199358634,425733
40429,48071,12739,4302,39376739,155657
40429,48157,547198,182847,572253604,13793103
40429,48167,123017,47441,139765837,5611178
40429,48201,4042806,1580172,3149594972,67364641
40429,48339,65548,24966,198256384,845807
40429,48473,918,365,814818,0
40456,42033,4081,904,4136273,2219
40537,36021,11512,5487,14713498,197838
40547,27163,3194,1390,6699978,491238
40547,55109,19201,8094,29894939,1434960
40564,40023,5028,2478,8451115,5149
40591,20189,3936,1568,4269741,0
40618,19091,5243,2512,8014728,120623
40645,47053,7821,3665,12181059,0
40645,47113,948,394,3344432,0
40672,18037,5501,2276,6835348,37012
40699,42061,11385,3445,10726049,215459
40726,18069,18207,7819,28157208,535666
40753,21019,36999,16699,76327625,3987314
40753,21089,19595,8626,40898071,4138650
40753,39087,33775,15447,53340926,3735442
40753,54011,75554,37015,100572435,7491217
40753,54079,22547,9289,28765065,183699
40753,54099,14167,6752,37673905,4645054
40780,01083,10136,2926,30973739,157394
40780,01089,276556,122176,512296233,2517480
40807,48471,36928,12150,43893572,838707
40834,06019,6754,1601,3797595,0
40861,46005,12637,6038,18628650,139515
40888,49053,16336,6066,26890975,0
40915,20155,44320,19668,55890984,112588
40942,27085,14054,6346,16986519,635594
40955,19169,4094,1640,6538994,0
40969,40089,5940,2724,11517449,66230
40996,16019,90733,34327,115276968,563105
41023,36043,24792,11199,29203897,129795
41050,26087,3792,1674,6748068,0
41077,12021,23160,6542,22896208,293165
41100,06061,5069,4006,11761406,0
41100,32031,7953,7071,19202754,4142
41131,19019,5743,2583,6672807,84648
41158,20125,9959,4649,14750386,22980
41185,42063,28807,11852,30525847,127645
41212,18011,21738,8187,40386535,178030
41212,18057,255632,99086,357058436,14647995
41212,18059,48689,19640,93918753,407654
41212,18063,119490,45164,206043574,1453608
41212,18081,116252,47074,137885881,28615
41212,18095,5459,1969,5764129,0
41212,18097,897971,415739,930499174,14637790
41212,18109,21765,8725,54961522,738835
41212,18145,487,185,1344770,0
41239,19181,14281,5642,21812344,15863
41266,28133,10408,3819,12484409,225273
41293,53035,7938,3696,25840687,49791
41320,12085,6503,1843,7005102,108603
41347,06065,345580,184888,372417690,4083469
41360,48007,523,362,1288631,0
41360,48409,15999,7100,34014264,265946
41374,12107,5805,2896,27952097,2992919
41401,27071,7055,3577,17811972,23628
41482,20001,5729,2610,7920312,35145
41509,06005,7820,1575,6644276,0
41536,26067,14409,4212,18517253,39233
41563,22019,2962,1153,6715124,14988
41563,22053,290,128,1797248,4635
41590,19103,106621,46233,118041717,900275
41617,19083,5070,2382,8792590,200896
41644,48485,6285,2755,7480694,187040
41671,26043,17594,8657,40503388,892734
41671,55075,1634,799,5762743,150002
41698,26071,3208,1908,5262684,0
41725,29093,2673,1382,5599796,40881
41752,26053,5229,3082,9273366,0
41752,55051,1905,1270,4371444,130063
41779,41049,2686,955,4460874,0
41806,21065,3503,1751,4784826,6996
41833,26103,12301,5672,16708481,243299
41914,36109,53661,20424,63663305,521993
41941,28083,4223,1299,4248179,0
41995,48237,4231,1422,5663168,23693
42022,01025,2920,1388,7397582,0
42049,06005,7255,3717,13321958,0
42076,13035,5218,2222,12136568,51181
42103,21025,2567,1231,5602089,587763
42157,26075,90057,38548,149373065,4117708
42184,27063,3169,1571,6725596,0
42211,28049,204636,87596,302016962,3763380
42211,28089,53243,22448,114554217,3879910
42211,28121,93599,37498,211469031,9544793
42265,47113,71880,30554,132458187,191539
42319,56039,11407,5507,10557507,118009
42346,12019,157054,60806,264471920,30689702
42346,12031,839100,378602,990772135,135355610
42346,12109,69065,28226,118370948,33323979
42373,17137,22669,9723,30197049,84043
42400,37133,105419,35093,184759745,4372220
42427,48073,14075,5406,25221735,0
42439,39079,11768,5510,16446938,0
42454,33005,3003,1447,6244543,131300
42481,36013,43404,21544,49235791,550255
42508,38093,15284,6920,25547017,87963
42535,39057,3769,1593,5151954,724061
42562,55105,69658,30539,79709496,1355979
42616,01127,14156,6318,51205289,143343
42643,12047,5404,1220,5682563,0
42670,13227,5909,2545,22818897,144994
42697,18037,15759,6669,28763837,135759
42724,47115,3281,1482,7976048,0
42751,48241,7790,3526,23003567,13407
42778,72073,11300,4436,25867112,692
42805,22045,5767,2354,5429930,84618
42805,22101,913,349,4103121,234943
42832,22051,2700,1115,4872477,725993
42849,13157,10443,3923,35980860,530896
42859,19073,3906,1895,6285277,0
42870,37009,4129,2072,14309503,5721
42913,39007,3205,1438,5558378,0
42967,29027,4637,2132,11360203,315259
42967,29051,53896,23264,92210531,410468
42978,34027,10024,3981,22200486,1235658
42978,34031,1310,460,3850187,73112
42978,34037,2380,792,5353582,151911
42994,22059,3992,1611,11494596,73214
43021,22053,9869,4204,18388510,35153
43048,16053,10892,3985,11476796,0
43064,42035,3569,1497,11042293,491968
43064,42081,6037,2574,7057001,41148
43075,17083,8989,3947,13724643,0
43102,13305,12660,4702,26986474,110719
43115,09011,6350,2855,12264354,739822
43115,09015,3769,1570,8647047,10855
43129,42025,5594,2729,6895113,64405
43210,47019,33900,15893,90076046,335627
43210,47163,4171,1881,13545130,0
43210,47171,345,155,1256958,0
43210,47179,81999,38982,179799948,566699
43217,55055,2702,1106,4787569,15674
43227,32005,5337,2164,10778052,0
43237,17199,3621,1727,4062114,5646
43253,08123,13693,4776,15487332,154849
43264,39089,4523,1943,4050334,4628
43291,42021,61494,30732,85679261,901003
43291,42111,7520,3681,14332215,0
43345,05031,65419,27590,121592147,719819
43372,22049,5609,2357,11502541,81917
43383,48039,3182,861,6543807,8976
43399,29097,74063,33017,141446819,227722
43399,29145,8712,3783,25387105,306486
43426,27139,5207,1857,6010097,58600
43453,72075,47251,18541,70274698,1044820
43453,72113,11113,4166,14224590,252419
43453,72149,22564,8288,39316802,2418992
43480,48267,2566,1266,6154297,40206
43507,20061,30351,12762,47713473,211740
43507,20161,8436,1891,10550616,0
43534,41039,5966,2586,5467857,0
43561,02110,24537,10333,36324085,2628409
43571,55027,2736,892,2779737,0
43595,12099,10962,4030,27858848,38159
43604,48121,2986,1097,4232720,2297
43615,15009,55934,18458,43194012,126311
43642,15001,28850,14269,37128388,0
43669,15003,113682,36414,101101980,1405158
43696,15007,14840,5865,20531117,265952
43711,53015,3310,1452,12641057,84269
43723,26077,205337,91436,328259130,14670121
43723,26159,4366,1701,12800300,161455
43777,30029,31785,14293,45148641,500632
43804,26079,2668,1297,6085293,242773
43818,49043,2645,974,6648980,0
43831,49025,3212,1460,6236883,25372
43858,42083,3770,1912,3535587,2286
43885,17091,81926,31958,96247065,2207474
43912,20091,515552,215554,514713568,3901907
43912,20209,147956,62794,205902037,3349031
43912,29037,45677,18194,61767244,478719
43912,29047,179607,77254,234451987,3174114
43912,29095,564337,267832,605363317,4620363
43912,29107,44,15,146625,0
43912,29165,66244,29385,133243029,2771341
43939,15007,19063,8104,35539653,87717
43966,15001,3597,1263,10491967,19078
43993,22113,4826,2256,5599297,0
44020,48255,3015,1112,4876063,1269
44047,27039,7048,2748,11156864,80897
44074,48257,6268,2276,8873943,0
44128,04017,4688,1399,6663397,56226
44155,29047,7368,2787,9188353,0
44182,31019,31229,12844,34419349,130404
44182,31099,58,24,109256,60659
44209,33005,22510,9528,27904563,422382
44236,15007,5313,1994,4688432,4785
44263,16079,3091,1725,5084182,76454
44290,06033,3277,1284,5820712,13105
44317,56023,3127,1526,3831328,8101
44344,02122,4921,2058,13623774,0
44371,18113,10399,4615,13803159,433264
44398,48255,6118,1455,10297153,47289
44425,23031,8240,5379,30513519,462378
44452,29069,11241,4989,15278238,699
44479,53005,145575,57947,183605059,9567220
44479,53021,63665,20145,78393242,8937032
44479,53071,1735,631,3389381,63903
44506,17097,4,2,4853,0
44506,55059,124060,50482,132620325,342509
44533,39065,8360,3829,10364109,0
44560,17067,2909,1288,5586106,5260
44560,19111,10502,4941,16504739,14510
44587,06019,13487,3895,6522480,0
44614,48495,5821,2498,8359776,0
