GEOID,GNIS ID,Name,Short Name,State,CBSA,Central,DMA,Time Zone,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
05019,66845,Clark County,Clark,AR,11660,T,693,America/Chicago,H1,22995,10385,2243121932,43395997,34.0509559,-93.1763675
05029,66846,Conway County,Conway,AR,,F,693,America/Chicago,H1,21273,9720,1430319825,37342580,35.2622146,-92.7013154
05031,66847,Craighead County,Craighead,AR,27860,T,734,America/Chicago,H1,96443,40515,1831656075,14162379,35.8307887,-90.6328413
05037,66848,Cross County,Cross,AR,,F,640,America/Chicago,H1,17870,7853,1596418434,15348594,35.2957261,-90.7712269
05039,66849,Dallas County,Dallas,AR,,F,693,America/Chicago,H1,8116,4305,1728522942,1864048,33.9698311,-92.6544402
05041,66850,Desha County,Desha,AR,,F,693,America/Chicago,H1,13008,6261,1989504302,133058424,33.8333332,-91.2539443
05043,66851,Drew County,Drew,AR,,F,693,America/Chicago,H1,18509,8408,2145431293,18920696,33.5894506,-91.7200205
05045,66852,Faulkner County,Faulkner,AR,30780,F,693,America/Chicago,H1,113237,46612,1678012685,41927331,35.1469786,-92.3320441
05047,66853,Franklin County,Franklin,AR,22900,F,670,America/Chicago,H1,18125,8021,1576932379,27933924,35.5123506,-93.8906194
05049,66854,Fulton County,Fulton,AR,,F,619,America/Chicago,H1,12245,6778,1601114128,5527461,36.3816696,-91.8182377
05051,66855,Garland County,Garland,AR,26300,T,693,America/Chicago,H1,96024,50548,1755444878,147213948,34.576686,-93.1504249
05053,66856,Grant County,Grant,AR,30780,F,693,America/Chicago,H1,17853,7758,1636376859,2904466,34.2900177,-92.423583
05055,66857,Greene County,Greene,AR,37500,T,734,America/Chicago,H1,42090,17892,1496233476,4826525,36.1176977,-90.5590717
05057,66858,Hempstead County,Hempstead,AR,26260,T,612,America/Chicago,H1,22609,10419,1884267810,35372390,33.7353046,-93.6684432
05059,66859,Hot Spring County,Hot Spring,AR,31680,T,693,America/Chicago,H1,32923,14332,1593367055,18052939,34.3176343,-92.9460057
05065,66860,Izard County,Izard,AR,,F,693,America/Chicago,H1,13696,7232,1503686209,8913023,36.0948747,-91.9134172
05067,66861,Jackson County,Jackson,AR,,F,693,America/Chicago,H1,17997,7601,1641892684,19587909,35.5992305,-91.2145707
05069,66862,Jefferson County,Jefferson,AR,38220,T,693,America/Chicago,H1,77435,33006,2255220650,111447666,34.2687851,-91.9315146
05071,66863,Johnson County,Johnson,AR,,F,670,America/Chicago,H1,25540,11311,1708883157,59415544,35.5700549,-93.45991
05073,66864,Lafayette County,Lafayette,AR,,F,612,America/Chicago,H1,7645,4353,1368208312,43539379,33.2409811,-93.607039
05075,66865,Lawrence County,Lawrence,AR,,F,734,America/Chicago,H1,17415,8000,1521913098,12244885,36.0412474,-91.1070748
05077,66866,Lee County,Lee,AR,,F,640,America/Chicago,H1,10424,4356,1560780566,43722296,34.7806229,-90.7820673
