ZCTA5,Place GEOID,Population,Housing Units,Land Area,Water Area
01742,2575680,6028,2240,8729788,556649
01747,2530980,3753,1543,4479662,9865
01748,2531050,2550,1028,3968790,8904
01749,2531575,14907,6381,14859787,464925
01752,2538715,38499,16416,54041301,3200938
01754,2539660,10106,4447,13502214,407075
01757,2541200,25055,10337,26314093,617608
01760,2514570,0,0,1909,0
01772,2515340,2650,889,4707922,9364
01778,2514570,6569,2563,9866844,915554
01801,2556165,791,430,46855,0
01801,2581035,38112,16307,32722583,806847
01803,2509875,24487,9664,30291646,324832
01810,2501430,8762,3483,9548578,209858
01821,2553680,7152,2429,9658002,98654
01830,2529405,25137,10751,35735901,3350990
01832,2529405,22060,9283,29420960,1250817
01835,2529405,13682,5623,20235250,2287169
01840,2534550,4733,2347,1290418,200628
01841,2534550,47219,15503,7920869,462412
01841,2540710,6,3,79354,0
01843,2534550,24425,9287,8726317,579700
01844,2540710,47249,18337,57543453,2042287
01850,2537000,15237,5938,3521737,305905
01851,2537000,30190,10760,8645533,115440
01852,2537000,33508,14430,12828750,627353
01854,2537000,27584,10303,10183696,1393292
01867,2556165,23956,9187,25733362,47893
01880,2572250,24733,10323,17889529,1399492
01887,2580195,22325,7808,43971880,464398
01890,2580545,21374,7986,15613420,818634
01890,2581035,8,2,1917,0
01901,2537490,1689,1034,641320,68753
01902,2537490,45139,18354,6223889,235638
01904,2537490,18203,7182,11708211,1303900
01905,2537490,25251,9187,9219345,1195154
01906,2537490,32,11,17603,0
01906,2560050,26628,10775,27955747,2606092
01907,2537490,9,6,2181,0
01907,2559105,231,66,31425,0
01907,2568680,13787,5888,7830620,1107037
01908,2543615,3410,1677,2708929,3559697
01913,2501260,16283,7110,31761151,3785528
01915,2505595,39502,16641,39091336,3958118
01921,2507385,2339,802,13893509,282599
01923,2516285,26342,11135,34194563,2348722
01929,2521815,1471,645,5328005,452056
01930,2526150,28789,14557,67847425,13972397
01937,2516285,151,0,189212,0
01938,2532275,4222,1979,4254049,261842
01940,2537490,6,2,7326,0
01940,2537595,11596,4354,25595989,1512382
01940,2552490,307,196,555576,43135
01940,2572250,199,177,1161543,155347
01945,2538435,19808,8838,11360555,8555892
01950,2545245,17416,8264,21621492,5985744
01951,2545245,0,0,174,0
01952,2559210,4869,3235,15512392,3897019
01960,2552490,50944,22024,41432495,1461233
01966,2557845,4966,3163,10319522,277791
01969,2558370,1416,607,4442255,69015
01970,2559105,41109,19063,21002235,14198461
01983,2570115,2717,1022,7032065,100692
02019,2504965,4854,1989,13930334,246352
02026,2516530,24711,10184,26532271,1037912
02030,2517370,2265,807,11027443,289790
02035,2524855,5625,2726,7454299,115079
02038,2525172,31635,11394,68961360,1038205
02043,2530175,5650,2114,8018682,165139
02045,2531680,10293,5762,6884305,14237684
